"","Weather Forecast for Main Cities","","","Date :","25-Jun-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","23","85","65","A few showers"
"Batticaloa","36","25","70","55","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","24","90","75","Showers at times"
"Galle","29","25","95","80","Showers at times"
"Jaffna","32","21","80","65","A few showers"
"Kandy","30","24","85","70","Showers at times"
"Nuwara-Eliya","19","16","95","75","Showers at times"
"Ratnapura","32","25","95","75","Showers at times"
"Trincomalee","35","27","80","55","Mainly fair"
"Mannar","32","28","85","70","A few showers"
