"","","Boat  Accident
2018.09.11","","","4","1","2","","","","","","",""
"","Beruwala","","","","","","","","","","","","",""
"","","","23150","125750","","","","","","","","","",""
"","කළුතර  
Kalutara","","17332","75017","","","","","","","","","",""
"Western/","20","","","","","","","","","","","","",""
"","fSj;Jiw 
Matugama","","940","3894","","","","","","","","","",""
"Nky;","","Salt water Intrusion  2018.09.07","","","","","","","","","","","",""
"","Kalutara
Panadura","","1662","5850","","","","","","","","","",""
"khfhzk;බ","","","","","","","","","","","","","",""
"","Dodangoda","","1105","3715","","","","","","","","","",""
"ස්නාහිර පලාත","","","","","","","","","","","","","",""
"","Horana","","185","820","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","44374","215046","4","1","2","0","0","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","44374","215046","4","1","2","0","0","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","268031","967570","5","3","8","7","136","0","0","1","16","64"
"","","","","","රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
