"","","","","Page 2","","","","","","","","","","",""
"වයඹ පලාත","","","","","","","","","","","","","","",""
"tlNky;","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","",""
"North Western
කුරුනෑගල/FUdh","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Information is being"
"7
Nikaweratiya
High wind
fy;/ Kurunegala/","2020.11.11","231","","","","","","","231","","","","","",""
"","","","","","","","","","","","","","","","calculated"
";/","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","231","0","","0","0","0","0","231","0","0","0","0","0",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","239","30","","0","0","0","0","235","3","0","0","0","0",""
"නපානලානනරුව/n","","","","","","","","","","","","","","",""
"8
Lankapura
High Wind
ghyd;dWit/Po
උතුරුමැද","2020.10.30","2","5","","","","","","2","","","","","",""
"lonnaruwa
පලාත/tlkj;jpa","","","","","","","","","","","","","","",""
"khfhzk;/ North","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","2","5","","0","0","0","0","2","0","0","0","0","0",""
"Central/","","","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","2","5","","0","0","0","0","2","0","0","0","0","0",""
"ත්‍රීකුණාමලය/jp.k
Kanthale","","1","4","","","","","","1","","","","","",""
"9
High Wind
iy/","2020.11.10","","","","","","","","","","","","","",""
"නැනගනහිර 
Kuchchaveli
Trincomalee","","1","1","","","","","","1","","","","","",""
"පලාත/fpof;F/East","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total
ern/","","2","5","","0","0","0","0","2","0","0","0","0","0",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","2","5","","0","0","0","0","2","0","0","0","0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","375","532","","1","0","2","1","283","4","0","0","0","0",""
