"15
Thumpane
fz;b","2018.08.14/15/18
Cutting Failure /","2","8","","3","","","2","","","","",""
"Landslide Risk
Kandy","","","","","","","","","","","","",""
"","","2","8","0","3","0","0","2","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","440","1854","0","9","0","7","236","1","0","13","103","461"
"හම්බන්නතොට","","","","","","","","","","","","",""
"Angunukolapelessa","","1","2","","","","","1","","","","",""
"දකුනු 
16
High Wind","2018.08.18","","","","","","","","","","","",""
"`k;ghe;Njhl;il","","","","","","","","","","","","",""
"Thissamaharama
පලාත/njd; 
Hambantota","","18","80","","","","","19","","","","",""
"khfhzk;/","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","19","82","0","0","0","0","20","0","0","0","0","0"
"Southern/","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","19","82","0","0","0","0","20","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","149469","504660","0","13","5","12","377","2","6","13","103","461"
"","","","","රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
