"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","25","90","55","Mainly fair"
"Batticaloa","30","26","85","75","Several spells of showers"
"Colombo","34","26","85","55","Showers or thundershowers are likely after 2.00p.m"
"Galle","33","26","90","60","Showers or thundershowers after 2.00p.m"
"Jaffna","30","24","85","65","Mainly fair"
"Kandy","30","23","90","65","A few showers"
"Nuwara-Eliya","18","15","95","80","Several spells of showers"
"Ratnapura","34","24","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","31","26","85","65","Several spells of showers"
"Mannar","32","27","80","65","Mainly fair"
