"ෙොල්ල","","","","","","","","","","","","","","",""
"8
fhyp        
දකුනු පලොත","Kadawath Sathara","Missing at Sea","2021.05.24","","1","1","","","","","","","","",""
"njd; 
Galle","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","0","1","1","0","0","0","0","0","0","0","0","0"
"Southern","","","","","","","","","","","","","","",""
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","0","1","1","0","0","0","0","0","0","0","0","0"
"","","High Wind","2021.05.25-27","19","73","","","","1","18","","","","",""
"","Gampaha","","","","","","","","","","","","","",""
"","","Tree Fallen","2021.05.26","3","12","","","","","2","1","","","",""
"","Attanagalla","Heavy Rain","2021.05.25-26","27","122","","","","","27","","","","",""
"","Wattala","Flood & High Wind","2021.05.24-27","1202","4876","","","","","8","","","","",""
"","Biyagama","","2021.05.26-27","57","318","","","","","14","","","","",""
"","","Flood","","","","","","","","","","","","",""
"","","","2021.05.26-27","28","111","","","","","23","1","","1","5","20 Malwana Maha Vidyalaya"
"ෙම්පහ","Dompe","","","","","","","","","","","","","",""
"9
fk;g`h","","Tree Fallen","2021.05.26-28","3","12","","","","","3","","","","",""
"Gampaha","","","","","","","","","","","","","","",""
"","Minuwangoda","","","20","74","","","","","20","1","","","",""
"Western","","","2021.05.25-27","","","","","","","","","","","",""
"","Mahara","","","21","75","","","","","21","","","","",""
"Nky;","","","","","","","","","","","","","","",""
"khfhzk","","","","","","","","","","","","","","",""
"","Katana","","","33","131","","","","1","32","4","","","",""
"බස්ත්‍ර ොහිර පලොත","","High Wind","","","","","","","","","","","","",""
"","Mirigama","","2021.05.25-26","21","76","","","","","21","","","","",""
"","Divulapitiya","","2021.05.26-27","16","82","","","","","16","","","","",""
"","Negombo","","2021.05.24-26","11","42","","","","","11","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1461","6004","0","0","0","2","216","7","0","1","5","20"
"නකොළඹ","","High Wind","2021.05.26","25","96","","","","1","24","3","","","",""
"10
nfhOk;G","Moratuwa","","","","","","","","","","","","","",""
"Colombo","","Coastal Erosion","2021.05.19-26","1","5","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","26","101","0","0","0","1","25","3","0","0","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","1487","6105","0","0","0","3","241","10","0","1","5","20"
"","","Landslide Risk","2021:05:24","9","36","","","","","","","","1","9","36 Sri Rathnagiri Temple"
"","","","","","","","","","","","","","","","1.Summerset Tamil    School"
"","","","","","","","","","","","","","","","2."
"","","Fire at Line Houses","2021:05:23","9","43","","","","","8","","","4","9","Day Care Center              3. 
43"
"","Nuwaraeliya","","","","","","","","","","","","","","Pre School                         4."
"","","","","","","","","","","","","","","","Temporary Houses"
"","","","2021.05.27","15","62","","","","","15","","","","",""
"","","High Wind","","","","","","","","","","","","",""
"","","","2021.05.26","1","3","","","","","1","","","","",""
"නුවරඑලිය","","","2021.05.26","2","9","","","","","2","","","","",""
"","Kothmale","","","","","","","","","","","","","",""
"11
Etnuypah","","","","","","","","","","","","","","",""
"","","","2021.05.27","4","23","","","","","4","","","","",""
"Nuwara Eliya","","High Wind","","","","","","","","","","","","",""
"","Walapane","","2021.05.27","1","6","","","","","1","","","","",""
"","Haguranketha","","2021.05.25-26","8","29","","","","","6","","","","",""
"","","Flood","2021:05:25","41","168","","","","","","","","1","27","103 Cultural Center"
"","","Cutting Faliure","2021:05:25","6","29","","","","","4","","","","",""
"","Ambagamuwa","","","","","","","","","","","","","",""
"","","High Wind","2021.05.27-28","17","81","","","","1","16","","","","",""
"","","Landslide Risk","2021.05.26","16","53","","","","","","","","1","7","20 Leinon Tamil School"
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","129","542","0","0","0","1","57","0","0","7","52","202"
