"","","","","","","","","Page 3","","","","","","","","",""
"","","ාතර","Thihagoda","","","1","4","","","","","1","","","","",""
"","7","khj;jiw","","Heavy rain & Wind","2020.09.06","","","","","","","","","","","",""
"","","Matara","Hakmana","","","5","12","","","","","5","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","6","16","0","0","0","0","6","0","0","0","0","0"
"","","","","","2020.09.06","1","5","","","","","1","","","","",""
"","","","Katuwana","","","","","","","","","","","","","",""
"දකුනු පලාත","","","","High wind","2020.09.09","2","6","","","","","1","1","","","",""
"njd; khfhzk;","","හම්බනමතාට","","","","","","","","","","","","","","",""
"","","","Suriyawewa","","2020.09.07","-","-","","","","","1","","","","",""
"Southern","8","","","","","","","","","","","","","","","",""
"","","`k;ghe;Njhl;ilH","","","","","","","","","","","","","","",""
"","","","","","2020.09.06","2","7","","","","","2","","","","",""
"","","ambantota","Beliaththa","Tree Fallen","","","","","","","","","","","","",""
"","","","","","2020.09.11","1","5","","","","","1","","","","",""
"","","","Thangalla","High wind","2020.09.06","2","7","","","","","2","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","8","30","0","0","0","0","8","1","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","14","46","0","0","0","0","14","1","0","0","0","0"
"","","","","","2020.09.07","9","34","","2","","","9","","","","",""
"","","","Colombo","","","","","","","","","","","","","",""
"","","","","","2020.09.09","1091","3103","","","","","3","","","","",""
"","","","","","","14","49","","","","","14","","","","",""
"","","","Rathmalana","","","","","","","","","","","","","",""
"","","","","","2020.09.09","3","13","","","","","3","","","","",""
"","","","","","","2","9","","","","","2","","","","",""
"","","","Kolonnawa","","","","","","","","","","","","","",""
"","","","","","2020.09.09","3","13","","","","","3","","","","",""
"","","","","","","3","14","","","","","3","","","","",""
"","","","Kotte","","","","","","","","","","","","","",""
"","","","","","2020.09.09","427","1640","","","","","25","","","1","42","175 Obesekarapura Kiyaweem"
"","","","","","","","","","","","","","","","","","shalawa"
"","","","","","","68","248","","","","2","66","","","","",""
"","","","Moratuwa","","","","","","","","","","","","","",""
"","","","","","2020.09.09","47","138","","","","","25","","","","",""
"","","","","Heavy rain and High","","","","","","","","","","","","",""
"","","මකාළඹ","Padukka","Wind","","1","5","","","","","1","","","","",""
"","9","nfhOk;G","","","","","","","","","","","","","","",""
"","","","","","","7","24","","","","","7","","","","",""
"","","Colombo","Maharagama","","","","","","","","","","","","","",""
"","","","","","","15","52","","","","","15","2","","","",""
"","","","","","","8","30","","","","","8","","","","",""
"","","","Dehiwala","","","","","","","","","","","","","",""
"","","","","","2020.09.09","3","10","","","","","3","","","","",""
"","","","Homagama","","2020.09.10","72","312","","","","","72","7","","","",""
"","","","","","","7","26","","","","","7","","","","",""
"","","","Thimbirigasyaya","","","","","","","","","","","","","",""
"","","","","","2020.09.09","213","678","","1","","","2","","","","",""
"","","","Kesbewa","","","2","8","","","","","2","","","","",""
"","","","Seethawaka","","2020.09.07","15","60","","","","","15","","","","",""
"","","","","","","3","11","1","2","","1","2","","","","",""
"","","","Kaduwela","","2020.09.09","14","44","","","","","14","","","","",""
"Western","","","","","","","","","","","","","","","","",""
"","","","","","2020.09.10","38","139","","","","","38","","","","",""
"Nky; khfhzk;","","","","","","","","","","","","","","","","",""
"බස්ත්‍රනාහිර පලාත","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","2065","6660","1","5","0","3","339","9","0","1","42","175"
"","","","","Tree Fallen","2020.09.11","1","5","","","","","1","","","","",""
"","","","Attanagalla","","","","","","","","","","","","","",""
"","","","","","2020.09.07","11","43","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","Safety centre (26 Families"
"","","","Wattala","","2020.09.08","4358","17553","","","","","70","","","2","51","217
112 Members  are  in"
"","","","","","","","","","","","","","","","","","relatives houses.)"
"","","","","Flood","","","","","","","","","","","","","Vidya Sadaka School("
"","","","Mahara","","2020.09.09","100","468","1","","","","9","","","1","4","18
Families 95  Members 446"
"","","","","","","","","","","","","","","","","","are  in relatives houses.)"
"","","ගම්පහ","","","","","","","","","","","","","","",""
"","10","fk;g`h","Kelaniya","","2020.09.06","1851","8235","","","","","1","","","1","48","223 Widyalankara Piriwena"
"","","Gampaha","Gampaha","","2020.09.09","53","237","","","","","6","","","","",""
"","","","Katana","","2020.09.09","81","323","","","","","9","1","","","",""
"","","","","High Wind/ Flood","","","","","","","","","","","","",""
"","","","Ja ela","","2020.09.09","326","1184","","","","","8","5","","","",""
"","","","Meerigama","","2020.09.08-09","-","-","","","","","3","","","","",""
"","","","Minuwangoda","","2020.09.08","-","-","","","","","1","","","","",""
"","","","Biyagama","High Wind","2020.09.09","-","-","","","","","2","","","","",""
"","","","Dompe","","2020.09.09/10","-","-","","","","","1","1","","","",""
"","","","Divulapitiya","","2020.09.11","3","8","","","","","3","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","6784","28056","1","0","0","0","114","7","0","4","103","458"
"","","කළුතර","","","","","","","","","","","","","","",""
"","11","fSj;Jiw","Palindanuwara","Rock Fallen","2020.09.06","16","49","","","","","","","","1","16","44 Gangarama Temple"
"","","Kalutara","","","","","","","","","","","","","","",""
