"","","","","","","","","","","","","","","",""
"Mahawewa","Highwind","2020.09.10","1","5","Page 4","","","","1","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"Wennappuwa","Highwind","2020.09.09","202","900","","","","","7","","","","","",""
"Dankotuwa","Flood","2020.09.09","68","252","","","","","5","","","","","",""
"පුත්තල","","","","","","","","","","","","","","",""
"වයඹ පලාත      
12
Gj;jsk;","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","E/ Weerahena Kokwalamulla"
"tlNky; 
Puttalam","","","","","","","","","","","","","","",""
"Nattandiya","Flood","2020.09.09","164","587","","","","","","","","2","7","22","Kovil & Nattandiya"
"khfhzk;","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Neegrodaramaya"
"North Western","","","","","","","","","","","","","","",""
"Madampe","Flood","2020.09.09","17","42","","","","","","5","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","452","1786","0","0","0","0","13","5","0","2","7","22",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","452","1786","0","0","0","0","13","5","0","2","7","22",""
"ත්‍රීකුණා ලය","","","","","","","","","","","","","","",""
"13
Seruwila
jp.kiy","High wind","2020.09.08","3","9","","3","","","","","","","","",""
"Trincomalee","","","","","","","","","","","","","","",""
"නැමගනහිර පලාත 
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","3","9","0","3","0","0","0","0","0","0","0","0",""
"fpof;F        
 ඩකලපුව","","","","","","","","","","","","","","",""
"Eastern
14
Eraurpattu","High wind","2020.09.09","1","3","","","","","1","","","","","",""
"kl;lf;fsg;G","","","","","","","","","","","","","","",""
"Batticaloa","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","3","0","0","0","0","1","0","0","0","0","0",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","4","12","0","3","0","0","1","0","0","0","0","0",""
"මපාමලානනරුව 
Elahera","Lightning","2020.09.02","1","3","","","","","1","","","","","",""
"උතුරු ැද පලාත 
15
nghyd;dWit","","","","","","","","","","","","","","",""
"tlkj;jpa 
Thamankaduwa
Polonnaruwa","High Wind","2020.08.31","4","12","","","","","4","","","","","",""
"khfhzk;","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","5","15","0","0","0","0","5","0","0","0","0","0",""
"North Central","","","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","5","15","0","0","0","0","5","0","0","0","0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","9684","37936","3","14","0","42","748","30","0","11","217","890",""
