"","","","","","","","","","","","","","",""
"","Rock Fallen","2020.09.06","1","3","Page 2","","","","1","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","","2020.09.06","1","2","","","","1","","","","","",""
"Ruwanwella","","","","","","","","","","","","","",""
"","","2020.09.05","1","3","","","","","","","","","",""
"","","2020.09.09","1","4","","","","","","1","","","",""
"","Tree Fallen","","1","5","","","","","1","","","","",""
"","","2020.09.06","","","","","","","","","","","",""
"","","","1","6","","","","","","","","","",""
"","","2020.09.07","1","4","","","","","","","","","",""
"Kegalle","","","","","","","","","","","","","",""
"","","2020.09.09","1","4","","","","","1","","","","",""
"","Wall Collapse","2020.09.06","1","","","","","","1","","","","",""
"","Tree Fallen","2020.09.09","2","8","","","","","2","","","","",""
"","Cutting failure","2020.09.07","1","4","","","","","","","","","",""
"Bulathkohupitiya","","","","","","","","","","","","","",""
"","Heavy Rain","2020.09.06","3","13","","","","1","","","","","",""
"","High wind","","6","25","","1","","","6","","","","",""
"Warakapola","","","","","","","","","","","","","",""
"","Cutting failure","","1","4","","","","","1","","","","",""
"කෑගල්ල         
5","","2020.09.06/ 09","","","","","","","","","","","",""
"Nffhiy","Tree Fallen","","1","4","","","","","1","","","","",""
"Kegalle
Mawanella","","","","","","","","","","","","","",""
"","Land subsidence","","1","2","","","","","1","","","","",""
"","Tree Fallen","2020.09.08","1","6","","","","","1","","","","",""
"Deraniyagala","","2020.09.06","4","19","","","","","2","","","","",""
"","High wind","2020.09.09","4","16","","","","","4","","","","",""
"","","","2","8","","","","","2","","","","",""
"Dehiovita","","","","","","","","","","","","","",""
"","Cutting failure","2020.09.06","1","4","","","","","1","","","","",""
"Galigamuwa","","","4","14","","","","","2","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","",""
"","High wind","2020.09.09","2","8","","","","","2","","","","",""
"rg;ufKt","","","","","","","","","","","","","",""
"Sabaragamuwa
Rambukkana","","","3","11","","","","","3","","","","",""
"","","2020.09.06","","","","","","","","","","","",""
"","Cutting failure","","1","6","","","","","1","","","","",""
"Yatiyanthota","Tree Fallen","2020.09.04","2","12","","","","","2","1","","","",""
"","Tree Fallen","2020.09.04","2","4","","","","","","","","","",""
"Aranayake","","2020.09.06","3","10","","","","","","","","","",""
"","Tree Fallen","","","","","","","","","","","","",""
"","","2020.09.09","1","4","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","54","213","0","1","0","2","36","2","0","0","0","0"
"","","2020.09.06","4","17","","","","","4","","","","",""
"Kiriella","High wind","","","","","","","","","","","","",""
"","","2020.09.09","1","4","","","","","1","","","","",""
"","","2020.09.06","11","37","","","","","11","","","","",""
"Elapatha","","","","","","","","","","","","","",""
"","Heavy rain & High Wind","2020.09.09","1","4","","3","","1","","","","","",""
"රත්නපුර","","","","","","","","","","","","","",""
"Nivithigala","","","2","7","1","","","","1","","","","",""
"6
,uj;jpdGhp","","","","","","","","","","","","","",""
"","Cutting failure","","1","3","","","","","","1","","","",""
"Rathnapura
Rathnapura","","","","","","","","","","","","","",""
"","High wind","","1","4","","","","","1","","","","",""
"Eheliyagoda","","","14","46","","","","","13","1","","","",""
"","Heavy rain & High Wind","","","","","","","","","","","","",""
"Imbulpe","","","8","33","","","","","8","1","","","",""
"Pelmadulla","Tree Fallen","2020.09.06","3","10","","","","","3","","","","",""
"Balangoda","High wind","","17","60","","","","","17","","","","",""
"Godakawela","High wind","","1","6","","","","","1","","","","",""
"Weligapola","High wind","","5","16","","","","","5","","","","",""
"Kalawana","High wind","","2","7","","","","","2","","","","",""
"Embilipitiya","High wind","","1","4","","","","","1","1","","","",""
"Kolonna","High wind","2020.09.09","1","4","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","73","262","1","3","0","1","69","4","0","0","0","0"
