"","","","","","Page 2","","","","","","","","",""
"පුත්තලම","","","","","","","","","","","","","",""
"9
Mundalama
Gj;jsk;   
වයඹ පලාත","Fire","2020.02.11","1","4","","","","1","","","","","",""
"Puttalam
tlNky;","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","4","0","0","0","1","0","0","0","0","0","0"
"North Western","","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","1","4","0","0","0","1","0","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","53961","229773","1","0","0","3","8","0","0","3","11","35"
"","","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
