"Polpithigama","1","5","","","","","","","","","",""
"Mawathagama","24","86","","","","","","","","","",""
"වයඹ පලාත 
Mallawapitiya","6","25","","","","","","","","","",""
"tlNky; khfhzk","","","","","","","","","","","",""
"Ridigama","31","105","","","","","","","","","",""
";North Western","","","","","","","","","","","",""
"Ganewatta","18","41","","","","","","","","","",""
"Rasnayakapura","142","457","","","","","","","","2","139","451"
"Kurunegala","5","15","","","","","","","","","",""
"Ibbagamuwa
කුරුනෑගල","40","138","","","","","","","","","",""
"4
Flood
FUdhfy; 
Wariyapola","2024.11.26 / 27
136","449","","","","","","","","3","136","449"
"Kurunegala","","","","","","","","","","","",""
"Maho","19","81","","","","","","","","1","19","81"
"Narammala","40","135","","","","","","","","","",""
"Pannala","40","135","","","","","","","","","",""
"Kobeigane","13","36","","","","","","","","","",""
"Panduwasnuwara west","20","74","","","","","","","","","",""
"Bingiriya","212","479","","","","","","","","","",""
"Maspotha","28","101","","","","","","","","","",""
"Nikaweratiya","84","278","","","","","","","","1","22","72"
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","859","2640","0","0","0","0","0","0","0","7","316","1053"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","6619","21073","1","2","0","0","12","50","175","11","327","1098"
"Kahawaththa","2024.11.26/27
6","23","","","","","6","","","","",""
"Kolonna","2024.11.26/27
7","31","","","","","7","","","","",""
"Eheliyagoda","2024.11.26/27
6","24","","","","","6","","","","",""
"Kuruwita","2024.11.26/27
9","31","","","","","9","","","","",""
"රත්නපුර","","","","","","","","","","","",""
"Heavy Rain/ Tree","","","","","","","","","","","",""
"5
,uj;jpdGhp  
Nivithigala","2024.11.26/27
2","9","","","","","2","","","","",""
"Fallen / High wind","","","","","","","","","","","",""
"Rathnapura","","","","","","","","","","","",""
"Weligepola","2024.11.26/27
1","6","","","","","1","","","","",""
"Rathnapura","2024.11.26/27
18","71","","","","","4","","","","",""
"Godakawela","2024.11.26/27
2","4","","","","","2","","","","",""
"Kalawana","2024.11.26/27
1","2","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","52","201","0","0","0","0","38","0","0","0","0","0"
"Kegalle
Rock Fallen","2024.11.26
1","4","","","","","1","","","","",""
"Tree Fallen
ස්ත්‍බරගමුව පලාත","2024.11.25
4","18","","","","","4","","","","",""
"rg;ufKt 
Warakapola
Rock Fallen","2024.11.24
1","4","","","","","1","","","","",""
"Sabaragamuwa","","","","","","","","","","","",""
"Wall Collapse","2024.11.26
2","9","","","","","2","","","","",""
"Galigamuwa
Tree Fallen","2024.11.25
7","32","","","","","7","","","","",""
"Rambukkana
Wall Collapse
කෑගේල","2024.11.26
2","8","","","","","1","","","","",""
"6
Nffhiy           
yatiyanthota
High wind","2024.11.26
8","33","","","","","8","","","","",""
"Kegalle","","","","","","","","","","","",""
"Ruwanwella
Flood","2024.11.26
4","17","","","","","1","","","","",""
"Aranayake
Cutting Faliure","2024.11.22
4","12","","","","","4","","","","",""
"Cutting Faliure","2024.11.24
6","23","","","","","6","","","","",""
"Mawanella
Tree Fallen","2024.11.25
1","2","","","","","1","","","","",""
"Cutting Faliure","2024.11.26
3","14","","","","","3","","","","",""
"Bulathkohupitiya
Cutting Faliure","2024.11.25
2","9","","","","","2","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","45","185","0","0","0","0","41","0","0","0","0","0"
