"15","Yakkalamulla
fhyp","Cutting Faliure","2024.11.23","1","6","","","","",""
"Galle","","","","","","","","","",""
"","Imaduwa","Cutting Faliure","2024.11.23","2","8","","","","","2"
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","4","20","0","0","0","0","3"
"","Akuressa","Flood / Wind","2024.11.24 - 26","17","80","","","","","2"
"දකුනු පලාත","Thihagoda","Flood / Wind","2024.11.24 - 26","153","576","","","","",""
"njd; khfhzk;","","","","","","","","","",""
"","Malimbada
මාතර","Flood / Wind","2024.11.24 - 26","33","91","","","","1","1"
"Southern","","","","","","","","","",""
"16","khj;jiw         
Kamburupitiya","Flood / Wind","2024.11.24 - 26","6","27","","","","",""
"Matara","","","","","","","","","",""
"","Pasgoda","Flood / Wind","2024.11.24 - 26","2","14","","","","","2"
"","Mulatiyana","Flood / Wind","2024.11.24 - 26","3","13","","","","1","3"
"","Welipitiya","Flood / Wind","2024.11.24 - 26","5","16","","","","","5"
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","219","817","0","0","0","2","13"
