"","Seruwila","Heavy rain / Flood","2024.11.24 - 26","78","201","","","","","1","","","1","12","40"
"","Thampalagamuwa","Heavy rain / Flood","2024.11.24 - 26","298","939","","","","","2","","","1","20","68"
"","Town & Gravets","Heavy Rain","2024.11.25 - 26","434","1698","","","","","7","","","2","40","82"
"","Muthur","Heavy rain / Flood","2024.11.25 - 26","1229","3452","","","","","3","","","","",""
"","ත්‍රීකුණාමලය","","","","","","","","","","","","","",""
"","Morawewa","Heavy rain / Flood","2024.11.26","39","120","","","","","2","","","","",""
"12
jp.kiy","","","","","","","","","","","","","","",""
"","Kinniya","Heavy rain / Flood","2024.11.25 - 26","709","1852","","","","","","","","","",""
"","Trincomalee","","","","","","","","","","","","","",""
"","Kuchchewali","Heavy rain / Flood","2024.11.25 - 26","81","207","1","","","","5","","","4","59","139"
"","Kanthale","Heavy rain / Flood","2024.11.25 - 26","60","238","","","","","2","","","","",""
"","Padavi Sripura","Heavy rain / Flood","2024.11.25 - 26","1","5","","","","","1","","","","",""
"","Verugal","Heavy rain / Flood","2024.11.25 - 26","13","40","","","","","1","","","1","8","25"
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","2942","8752","1","0","0","0","24","0","0","9","139","354"
"","Manmunai South West","","","937","2722","","","","","","","","6","79","205"
"","Kattankudy","","","956","3044","","","","","","","","1","6","7"
"","Manmunai North","","","2988","9163","","","","","9","","","11","125","357"
"","Eravur Paththu","","","","","","","","","","","","","",""
"","","","","1351","3787","","","","","12","","","12","1063","3039"
"","Chenkallady","","","","","","","","","","","","","",""
"","Koralaipattu South kiran","","","874","2699","","","","","3","","","3","168","418"
"","Koralaipattu Valachchenai","","","560","1688","","","","","","","","2","282","859"
"මඩකලපුව","","","","","","","","","","","","","","",""
"13","kl;lf;fsg;G 
Koralaipattu Central","Flood","2024.11.25","338","1262","","","","","8","","","","",""
"Batticaloa","","","","","","","","","","","","","","",""
"","Koralaipattu West","","","560","1855","","","","","","","","1","188","544"
"","Manmunaioattu","","","2168","5632","","","","","","","","","",""
"","Manmunai West","","","1618","4963","","1","","","11","","","5","172","565"
"","Manmunai South","","","","","","","","","","","","","",""
"නැලගනහිර පලාත","","","","2431","8708","","","","","1","","","8","324","854"
"","Eruvilpattu","","","","","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","","",""
"","Eravur Town","","","337","1338","","","","","","","","","",""
"Eastern","","","","","","","","","","","","","","",""
"","Karalaipattu North","","","108","392","","","","","8","","","","",""
"","Porathivupattu vellaveli","","","674","1870","","","","","5","","","7","151","393"
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","15900","49123","0","1","0","0","57","0","0","56","2558","7241"
