"","Weather Forecast for Main Cities","","","","24-Jan-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","32","22","90","50","Mainly fair"
"Batticaloa","30","23","90","70","Mainly fair"
"Colombo","31","24","85","45","Mainly fair"
"Galle","32","23","85","70","Mainly fair"
"Jaffna","31","24","90","65","Mainly fair"
"Kandy","32","18","90","50","Mainly fair"
"Nuwara-Eliya","22","7","90","65","Mainly fair"
"Ratnapura","34","21","90","55","Mainly fair"
"Trincomalee","30","23","80","70","Mainly fair"
"Mannar","31","24","80","65","Mainly fair"
