"","ප්‍රධාන්‍  න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය","","","","දින්‍ය :     2024-01-24"
"","","උෂ්ණත්වය(සස. අංශක)","","සාසේක්ෂ ආර්ද්‍රතාවය(%)",""
"න්‍ගරය","","","","",""
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","32","22","90","50","ප්‍රධාන වශහයන් වැසි රහිත"
"මඩකලපුව","30","23","90","70","ප්‍රධාන වශහයන් වැසි රහිත"
"හකාළඹ","31","24","85","45","ප්‍රධාන වශහයන් වැසි රහිත"
"ගාල්තල","32","23","85","70","ප්‍රධාන වශහයන් වැසි රහිත"
"යාපනය","31","24","90","65","ප්‍රධාන වශහයන් වැසි රහිත"
"ම නුවර","32","18","90","50","ප්‍රධාන වශහයන් වැසි රහිත"
"නුවරඑළිය","22","7","90","65","ප්‍රධාන වශහයන් වැසි රහිත"
"රත්තනපුරය","34","21","90","55","ප්‍රධාන වශහයන් වැසි රහිත"
"ිකුණාමලය","30","23","80","70","ප්‍රධාන වශහයන් වැසි රහිත"
"මන්නාරම","31","24","80","65","ප්‍රධාන වශහයන් වැසි රහිත"
