"නගරය","","","","","කාෙගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","28","24","95","70","සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ"
"මඩකලපුව","30","25","95","75","සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ"
"වකාළඹ","29","25","95","80","වැසි වාර කිහිපයක්"
"ගාල්ල","29","26","90","75","වැසි වාර කිහිපයක්"
"යාපනය","29","24","95","85","වැසි වාර කිහිපයක්"
"මහනුවර","27","21","95","75","වැසි වාර කිහිපයක්"
"නුවරඑළිය","17","14","90","65","වැසි වාර කිහිපයක්"
"රත්නපුරය","29","24","95","70","වැසි වාර කිහිපයක්"
"ිකුණාමලය","30","24","95","80","සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ"
"මන්නාරම","30","26","95","75","වැසි වාර කිහිපයක්"
