"","Weather Forecast for Main Cities","","","","7-May-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","28","24","95","70","Showers or thundershowers after 2.00p.m"
"Batticaloa","30","25","95","75","Showers or thundershowers after 2.00p.m"
"Colombo","29","25","95","80","Several spells of showers"
"Galle","29","26","90","75","Several spells of showers"
"Jaffna","29","24","95","85","Several spells of showers"
"Kandy","27","21","95","75","Several spells of showers"
"Nuwara-Eliya","17","14","90","65","Several spells of showers"
"Ratnapura","29","24","95","70","Several spells of showers"
"Trincomalee","30","24","95","80","Showers or thundershowers after 2.00p.m"
"Mannar","30","26","95","75","Several spells of showers"
