"","Weather Forecast for Main Cities","","","Date :","2024-09-21"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","24","95","50","Mainly fair"
"Batticaloa","37","25","80","55","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","28","90","70","Showers at times"
"Galle","29","28","90","75","Showers at times"
"Jaffna","34","28","80","50","Mainly fair"
"Kandy","30","19","95","65","Several spells of showers"
"Nuwara-Eliya","18","15","95","75","Several spells of showers"
"Ratnapura","31","23","95","70","Showers at times"
"Trincomalee","38","26","80","40","Showers or thundershowers are likely after 2.00p.m"
"Mannar","32","27","80","70","Mainly fair"
