"Mundalama","2024.11.26","341","1325","","","","","2","","","","",""
"Wennappuwa","2024.11.26","631","2422","1","","","","4","","","","",""
"Arachchikattuwa","2024.11.26","894","2906","","","","","4","","","","",""
"Madampe","2024.11.26","273","789","","","","","3","1","","","",""
"Pallama","2024.11.26","371","1201","","","","","1","","","","",""
"පුත්තලම","","","","","","","","","","","","",""
"","Flash Flood / Heavy","","","","","","","","","","","",""
"Gj;jsk;    
4
Puttalam","2024.11.26","7","25","","","","","6","1","","","",""
"Rain / Wind","","","","","","","","","","","","",""
"Puttalam","","","","","","","","","","","","",""
"Nattandiya","2024.11.26","267","851","","2","","","11","2","","1","2","8"
"Wanathavilluwa","2024.11.26","107","339","","","","","8","","1","","",""
"Dankotuwa","2024.11.26","26","81","1","","","","4","1","","","",""
"Mahawewa","2024.11.26","91","308","","","","","4","","","","",""
"Chilaw","2024.11.26","2321","9207","","","","","3","","1","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","5329","19454","2","2","0","0","50","5","2","1","2","8"
"Polpithigama","","1","5","","","","","","","","","",""
"Mawathagama","","24","86","","","","","","","","","",""
"Mallawapitiya","","6","25","","","","","","","","","",""
"වයඹ පලාත","","","","","","","","","","","","",""
"Ridigama
tlNky; khfhzk","","31","105","","","","","","","","1","7","19"
";North Western
Ganewatta","","23","59","","","","","","","","","",""
"Rasnayakapura","","142","457","","","","","","","","","",""
"Kurunegala","","5","15","","","","","","","","","",""
"Ibbagamuwa","","60","195","","","","","","","","","",""
"කුරුණෑගල","","","","","","","","","","","","",""
"5
FUdhfy; 
Wariyapola","2024.11.26 / 27","140","460","","","","","","","","","",""
"Flood","","","","","","","","","","","","",""
"Kurunegala","","","","","","","","","","","","",""
"Maho","","19","81","","","","","","","","","",""
"Narammala","","40","135","","","","","","","","","",""
"Pannala","","5","35","","","","","","","","","",""
"Kobeigane","","44","119","","","","","","","","","",""
"Panduwasnuwara west","","21","76","","","","","","","","","",""
"Bingiriya","","400","1084","","","","","","","","","",""
"Maspotha","","28","101","","","","","","","","","",""
"Nikaweratiya","","84","278","","","","","","","","","",""
"Hellipola","2024.12.02","","","1","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","1073","3316","1","0","0","0","0","0","0","1","7","19"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","6402","22770","3","2","0","0","50","5","2","2","9","27"
"Godakawela","","8","26","","","","","8","","","","",""
"Pelmadulla","","17","66","","","","","17","","","","",""
"Kahawaththa","","13","64","","","","","13","","","","",""
"Kolonna","","26","85","","2","","","26","","","","",""
"Nivithigala","","5","26","","","","","5","","","","",""
"Kuruvita","Heavy Rain/ Tree","8","32","","","","","8","","","","",""
"රත්නපුර","Fallen / High wind","","","","","","","","","","","",""
"Kalawana","2024.11.25/26/27","12","42","","","","","12","","","","",""
"6
,uj;jpdGhp","","","","","","","","","","","","",""
"Balangoda","","3","12","","","","","3","","","","",""
"Rathnapura","","","","","","","","","","","","",""
"Opanayake","","2","6","","","","","2","","","","",""
"Elapatha","","3","14","","","","","3","","","","",""
"Rathnapura","","81","312","","","","","66","","","","",""
"Weligepola","","4","12","","","","","4","1","","","",""
"Embilipitiya","","6","22","","","","","6","","","","",""
"Kiriella","2024.11.28","2","9","","","","","2","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","190","728","0","2","0","0","175","1","0","0","0","0"
