"","","උෂ්ණත්වය(නස.","සානේක්ෂ","",""
"න්‍ගරය","අෙංශක)","","ආර්රතාවය(%)","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","34","24","95","65","ෙවෙ 2.00න් පසුව වැසි හ ෝ ගිගුරුම් ෙහිත වැසි ඇති  විය  ැක"
"මඩකලපුව","31","26","95","65","ෙවෙ 2.00න් පසුව වැසි හ ෝ ගිගුරුම් ෙහිත වැසි ඇති හේ"
"හකාළඹ","32","26","95","60","ෙවෙ 2.00න් පසුව වැසි හ ෝ ගිගුරුම් ෙහිත වැසි ඇති  විය  ැක"
"ගාල්ල","30","26","95","75","ෙවෙ 2.00න් පසුව වැසි හ ෝ ගිගුරුම් ෙහිත වැසි ඇති හේ"
"යාපනය","30","24","95","70","වැසි වාර කිහිපයක්"
"ම නුවර","31","23","95","60","ෙවෙ 2.00න් පසුව වැසි හ ෝ ගිගුරුම් ෙහිත වැසි ඇති හේ"
"නුවරඑළිය","23","14","95","75","ෙවෙ 2.00න් පසුව වැසි හ ෝ ගිගුරුම් ෙහිත වැසි ඇති හේ"
"රේනපුරය","34","24","95","60","ෙවෙ 2.00න් පසුව වැසි හ ෝ ගිගුරුම් ෙහිත වැසි ඇති හේ"
"ිකුණාමලය","31","24","95","70","ෙවෙ 2.00න් පසුව වැසි හ ෝ ගිගුරුම් ෙහිත වැසි ඇති හේ"
"මන්නාරම","31","27","90","70","වැසි වාර කිහිපයක්"
