"ලයඹ ප඼෈ත","","","Ambanpola
Drought","2019.04.03","541","1613","","","","","","","","","","",""
"tlNky;","","","High wind","2019.06.09","3","13","","","","","3","","","","","",""
"","","","Galgamuwa","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","",""
"","","","","2019.04.11","355","1439","","","","","","","","","","",""
"North Western","","","","","","","","","","","","","","","","",""
"","","","Udubaddawa","2019.05.08","288","991","","","","","","","","","","",""
"","","","Kotawehera","2019.05","994","3025","","","","","","","","","","",""
"","","","Polpithigama","2019.05 සිට","2657","8900","","","","","","","","","","",""
"","","","Drought","","","","","","","","","","","","","",""
"","","","Maaspotha","2019.04 සිට","59","214","","","","","","","","","","",""
"","","කුරුණ්ග඼","","","","","","","","","","","","","","",""
"","","","Weerambugedara","2019.05 සිට","135","515","","","","","","","","","","",""
"","4","FUdhfy;","","","","","","","","","","","","","","",""
"","","","Narammala","2019.06.04  සිට","65","265","","","","","","","","","","",""
"","","Kurunegala","","","","","","","","","","","","","","",""
"","","","","2019.5.28","544","1373","","","","","","","","","","",""
"","","","Giribawa","","","","","","","","","","","","","",""
"","","","Lightning","2019.05.21","1","4","","","","","1","","","","","",""
"","","","Kuliyapitiya - East
Drought","2019.05.15","293","1263","","","","","","","","","","",""
"","","","Kuliyapitiya - West
Fire","2019.05.19","1","3","","","","1","","","","","","",""
"","","","Pannala
Lightning","2019.06.04","2","6","","","","","2","","","","","",""
"","","","Ganewaththa","2019.06.07","1","3","","","","","1","","","","","",""
"","","","","High Wind","","","","","","","","","","","","",""
"","","","Polgahawela","2019.04.30","1","4","","","","","1","","","","","",""
"","","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","5940","19631","0","0","0","1","8","0","0","0","0","0",""
"","","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","","19372","65423","1","1","0","1","11","0","0","0","0","0",""
"","","ලව්නිය෈ල","Vavuniya North
Drought","2019.03.11","39","105","","","","","","","","","","",""
"","5","tTdpah","Vavuniya South","Drowining
2019.06.09","","2","2","","","","","","","","","",""
"","","Vavuniya","Vavuniya
High wind","2019.06.09","1","2","","","","","1","","","","","",""
"","","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","40","109","2","0","0","0","1","0","0","0","0","0",""
"","","","Delft","2019.03.18","1031","3071","","","","","","","","","","",""
"","","","Drought
Velanai","2019.03.21","2798","9642","","","","","","","","","","",""
"","","","Kayts","2019.03.18","2422","7848","","","","","","","","","","",""
"","","ය෈පනය","","","","","","","","","","","","","","","Two People missing while"
"","","","","High Wind
2019.06.02","2","8","","","2","","","","","","","",""
"","6","aho;g;ghzk;","Karainagar","","","","","","","","","","","","","","fishing"
"","","Jaffna","","","2760","8297","","","","","","","","","","",""
"","","","Maruthankarny","","1060","4630","","","","","","","","","","",""
"","","","Drought","2019.03.18","","","","","","","","","","","","",""
"","","","Karaveddi","","336","1064","","","","","","","","","","",""
"","","","Chavakachcheri","","3361","11484","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","13770","46044","0","0","2","0","0","0","0","0","0","0",""
"උතුරු ප඼෈ත","","","Nanattan","2019.04.03","2310","7649","","","","","","","","","","",""
"tl khfhzk ;","","","Musali","","3722","14627","","","","","","","","","","",""
"","","මන්න෈රම","","","","","","","","","","","","","","",""
"","","","","2019.04.01","","","","","","","","","","","","",""
"Northen","7","","Drought","","","","","","","","","","","","","",""
"","","kd;dhH","Mannar Town","","2045","6460","","","","","","","","","","",""
"","","Mannar","Madhu","2019.04.01","2358","6850","","","","","","","","","","",""
"","","","Manthai West","2019.04.01","5808","20738","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","16243","56324","0","0","0","0","0","0","0","0","0","0",""
"","","කිලිලනොච්චිය","Kandawalai","","95","444","","","","","","","","","","",""
"","","","","2019.04.08","","","","","","","","","","","","",""
"","8","fpspnehr;rp","Drought
Poonakary","","2756","9156","","","","","","","","","","",""
"","","Killinochchi","Karachchi","2019.05.15","1920","7036","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","4771","16636","0","0","0","0","0","0","0","0","0","0",""
"","","","High wind","2019.06.09","1","2","","","","1","1","","","","","",""
"","","මු඼තිව්","Puthukudiyirippu","","","","","","","","","","","","","",""
"","","","","2019.04.10","1967","6296","","","","","","","","","","",""
"","9","Ky;iyj;jPT","Drought","","","","","","","","","","","","","",""
"","","","Maritimepattu","2019.04.25","10799","33797","","","","","","","","","","",""
"","","Mulaitivu","","","","","","","","","","","","","","",""
"","","","Welioya
High wind","2019.06.09","1","3","","","","","1","","","","","",""
"","","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","12768","40098","0","0","0","1","2","0","0","0","0","0",""
"","","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","","47592","159211","2","0","2","1","3","0","0","0","0","0",""
"","","","Ambangangakorale","","85","300","","","","","","","","","","",""
"","","","Ukuwela","2019.04.01","950","4617","","","","","","","","","","",""
"","","ම෈තලල්","","","","","","","","","","","","","","",""
"","10","khj;jis","Drought
Naula","","590","1870","","","","","","","","","","",""
"","","Matale","","","","","","","","","","","","","","",""
"","","","Yatawatta","2019.04.05","1107","3475","","","","","","","","","","",""
"මධයම ප඼෈ත","","","Rattota","2019.03.28","2242","8968","","","","","","","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","","","4974","19230","0","0","0","0","0","0","0","0","0","0",""
"Central","","","","","","","","","","","","","","","","",""
"","","නුලරඑලිය","","","","","","","","","","","","","","",""
"","11","Etnuypah","Nuwara Eliya
Fire","2019.05.29","24","100","","","","24","","","","1","24","","100 Holired School -"
"","","","","","","","","","","","","","","","","","Nuwara eliya"
"","","Nuwara Eliya","","","","","","","","","","","","","","",""
