"","දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :26th May 2024 at 0900hrs","","","","","","","","","","","","","",""
"","","","","","","","","","නිවාස්ත්‍ හානි","","","","","",""
"","පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு","","","බලපෑමට ලක්වු","","","","","Nrjkile;j","","","ලවනත් හානි பிற பாதிப்புகள்","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd",""
"","Administrative purview","","","ghjpf;fg;gl;l    Affected","","","","","tPLfs; Houses","","","Other Damages","","miktplk; Safe Location",""
"","","","","","","","තුවාලවු","අතුරුදහ","","","","","","",""
"","","","","","","","","","Damaged","","","","","",""
"","","","ආරම්භක දිනය","","","","පුද්ගලයින්","න්වූ","","","","","","",""
"","","","mdu;j;jk;","","","මිය යෑම්","","පුද්ගලයින්","","","කුඩා හා මධය","","","",""
"","","ආපදාව","","","","","","","","","","","","","ලවනත් කරුණු"
"පළාත khfhzk;","","","","","","kuzq;f","fhakil","fhzhky;","","","පරිමාණ වයාපාරික","","ඉතා වැදගත් යටිතල","ආරක්ිත",""
"#","","mdHj;jk","Muk;gpj;j jpfjp","","","","","","","","","","","","NtW Fwpg;Gf;fs;"
"","","","","","","s;","e;NjhH","NghNdhH","","","","","පහසුකම් වලට වූ","ස්ත්‍
රථාන","පවුේ"
"Province","","","","","","","","","පූර්ණ","","ස්ත්‍
රථාන சிறிய,","","","","Remarks"
"","ප්‍රා.ලේ. ලකා","Disaster","Date of","පවුේ ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්","Deaths","","","","අර්ධ හානි","நடுத்தர,","","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින් 
ස්ත්‍ංඛ්‍යාව"
"දිස්ත්‍රික්කය","","","","","","","","","හානි","","நிறுவனங்களின்","","","",""
"","","","commenced","","","","Injured","Missing","","gFjpasT","","","fl;likg;Gf;fs;","vz;zpf;i","egHfs;"
"","gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","","","","","","","","","","FLk;gq;f"
"மாவட்டம் District","","","","","","","People","People","KOik","","சேதங்கள்; Small,","","","",""
"","","","","Families","People","","","","","Partially","","","Damages to","f   No.","s; 
Persons"
"","Division","","","","","","","","Fully","","","","","",""
"","","","","","","","","","","","Medium,","","critical","of Safety","Families"
"","","","","","","","","","","","Enterprises","","Infrastructure","Locations",""
"","","","","","","","","","","","Damages","","","",""
"","Ayagama","Tree fallen","2024.05.20/21","25","88","","1","","1","21","","","","",""
"","","Heavy Rain and high","","","","","","","","","","","","",""
"","Kolanna","","2023.05.20/21/22","33","119","","","","","33","","1","","",""
"","","wind","","","","","","","","","","","","",""
"","Godakawela","High Wind","2024.05.19/22","59","231","","","","1","55","","2","1","",""
"","","Heavy Rain and high","","","","","","","","","","","","",""
"","Balangoda","","2024.05.20/21","21","69","1","","","","18","","1","1","",""
"","","wind/Tree Fallen","","","","","","","","","","","","",""
"","","Heavy Rain and high","","","","","","","","","","","","",""
"","Kalthota","","2024.05.20/21","5","16","","","","","5","","","","",""
"","","wind","","","","","","","","","","","","",""
"","Rathnapura","Lightning","2024.05.20","40","159","","","","","40","","","","",""
"","Weligapola","High Wind","2024.05.20","8","27","","","","","8","","","","",""
"","","Heavy Rain and","","","","","","","","","","","","",""
"","Kuruvita","","2024.05.19","21","86","","","","","21","","3","","",""
"","","cutting faliture","","","","","","","","","","","","",""
"","kiriella","Tree fallan","2024.05.20","11","38","","","","","11","","1","","",""
"රත්නපුර","Elapatha","High Wind","2024.05.19","61","251","","","","1","57","","1","","",""
"1
,uj;jpdGhp","","Heavy Rain and high","","","","","","","","","","","","",""
"","Kalawana","","2024.05.20","61","209","","","","","49","","4","1","",""
"Rathnapura","","wind","","","","","","","","","","","","",""
"","","Heavy Rain and high","","","","","","","","","","","","",""
"","Imbulpe","","2024.05.20","10","43","","","","","9","","1","","",""
"","","wind","","","","","","","","","","","","",""
"","","Heavy Rain and high","","","","","","","","","","","","",""
"","Kahawattha","","2024.05.20","23","83","","","","","22","","1","","",""
"","","wind","","","","","","","","","","","","",""
"","","Heavy Rain and high","","","","","","","","","","","","",""
"","Palmadulla","","2024.05.20","48","167","","","","1","46","","","","",""
"","","wind","","","","","","","","","","","","",""
"","","Heavy Rain and high","","","","","","","","","","","","",""
"","Nivithigala","","2024.05.20","34","139","","","","","34","","","","",""
"ස්ත්‍බරගමුව පලාත","","wind","","","","","","","","","","","","",""
"rg;ufKt","","Heavy Rain and high","","","","","","","","","","","","",""
"","Eheliyagoda","","2024.05.20","39","133","","","","","38","","1","","",""
"Sabaragamuwa","","wind","","","","","","","","","","","","",""
"","","Heavy Rain and high","","","","","","","","","","","","",""
"","Opanayake","","2024.05.20","12","50","","","","","12","","","2","",""
"","","wind","","","","","","","","","","","","",""
"","","Heavy Rain and high","","","","","","","","","","","","",""
"","Embilipitiya","","2024.05.22/23","6","22","","","","","6","","","","",""
"","","wind","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","517","1930","1","1","0","4","485","","16","5","0","0
0"
"","Rambukkana","Tree fallen","2024.05.20","1","3","","","","","1","","","","",""
"","","Lightning","2024.05.20","1","4","","","","","1","","","","",""
"","Galigamuwa","Tree falen","2024.05.20","3","12","","","","","3","","","","",""
"","","Tree falen","2024.05.21","4","13","","","","","4","","","","",""
"","","Heavy Rain","2024.05.20","1","2","","","","","1","","","","",""
"","Warakapola","Tree fallen","2024.05.20","1","4","","","","","1","","","","",""
"කෑගල්ල Nffhiy","","Tree fallen","2024.05.20","2","9","","","","","2","","","","",""
"2","","","","","","","","","","","","","","",""
"Kegalle","Ruwanwella","High wind","2024.05.21","15","59","","","","","15","","","","",""
"","Kegalle","Tree fallen","2024.05.20","1","4","","","","","1","","","","",""
"","","Tree fallen","2024.05.20","1","4","","","","","1","","","","",""
"","Dehiovita","","","","","","","","","","","","","",""
"","","High Wind","2024.05.21","1","4","","","","","1","","","","",""
"","Deraniyagala","High Wind","2024.05.20","4","15","","","","","4","","","","",""
"","Yatiyanthota","Tree Fallen","2024.05.20","6","26","","","","","6","","","","",""
"","Bulathkohupitiya","High Wind","2024.05.20","1","4","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","42","163","0","0","0","0","42","","0","0","0","0
0"
