"","","","","","","","","","","","","","","","3"
"යාපනය","","","","","","","","","","","","","","",""
"8
Kayts
aho;g;ghzk;","Flood","2018.11.04","1","4","1","","","","","","","","","",""
"Jaffna","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","1","4","1","0","0","0","0","0","0","0","0","0",""
"Oddusuddan","","","213","643","","","","","1","","","","","",""
"Thunukkai","","2018.11.07","15","48","","","","","","","","","","",""
"මුලතිව්","","","","","","","","","","","","","","",""
"9
Ky;iyj;j 
Marittimepattu","Flood","","7","27","","","","","2","","","1","5","20",""
"Mulaitivu","","","","","","","","","","","","","","",""
"Weli Oya","","2018.11.08","3","9","","","","","1","","","","","",""
"උතුරු පලාත","","","","","","","","","","","","","","",""
"tl 
Pudukuduiruppu","","2018.11.08","2","4","","","","1","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","240","731","0","0","0","1","4","0","0","1","5","20",""
"Northen","","","","","","","","","","","","","","",""
"Vavuniya North","Flood","2018.11.07","4","18","","","","","4","","","","","",""
"වව්නියාව tTdpah","","","","","","","","","","","","","","",""
"10","","","","","","","","","","","","","","",""
"Vavuniya","","","","","","","","","","","","","","",""
"Vavuniya","High Wind","2018.11.07","1","3","","","","","1","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","5","21","0","0","0","0","5","0","0","0","0","0",""
"කිලිගනොච්චිය","","","","","","","","","","","","","","","1.Ananthapuram RDS Hall"
"11
Karachchi
fpspnehr;rp","Flood","2018.11.08","228","836","","","","","2","","","2","145","552","2.Ratnapuram Common Hall"
"","","","","","","","","","","","","","","","& Pre School"
"Killinochchi","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","228","836","0","0","0","0","2","0","0","2","145","552",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","474","1592","1","0","0","1","11","0","0","3","150","572",""
"Kegalle","Cutting Failure","2018.11.07","3","9","","","","1","1","","","","","",""
"Bulathkohupitiya","Cutting Failure","","1","5","","","","","","","","","","",""
"","Cutting Failure","","4","18","","","","","4","","","","","",""
"කෑෙල්ල         
Mawanella","","","","","","","","","","","","","","",""
"සබරෙමුව","","","","","","","","","","","","","","",""
"Nffhiy       
12","Tree Fallen","","1","5","","","","","1","","","","","",""
"පලාත","","","","","","","","","","","","","","",""
"Kegalle
rg;ufKt","","","","","","","","","","","","","","",""
"","Cutting Failure","","4","7","","","","","2","1","","","","",""
"Sabaragam","","","","","","","","","","","","","","",""
"uwa
Aranayaka","Tree Fallen","","2","6","","","","","","","","","","",""
"","Rock Fallen","","1","2","","","","","","","","","","",""
