"District","","","","Persons","","","","","","Partia","Medium,","","","","Persons
 Families",""
"","","","","","","","Person","","Fully","","","Damages to","","Safety","",""
"","","","Families","","","","","","","lly","Enterprises","","","","",""
"","","","","","","","s","","","","","critical","","Locations","",""
"","","","","","","","","","","","Damages","","","","",""
"","","","","","","","","","","","","Infastructure","","","",""
"1 Mulaitiuv","","2018.05.19/20","19","64","0","0","","0","1","7","0","","0","0","0","0"
"Kandy
2","","2018.05.17/21","441","1913","0","7","","0","7","187","2","","1","1","9","45"
"Nuwaraeliya
3","ගං ෙතුර","2018.05.20/21","586","2413","1","0","","0","8","245","0","","0","5","152","495 One person death Due to  Drowning"
"","nts;sk;","","","","","","","","","","","","","","",""
"Badulla","","","288","1105","4","4","","0","0","278","1","","0","0","0",""
"4","Flood /","2018.05.18/14/20/21","","","","","","","","","","","","","","0 Four persons death Due to  Tree Fallen"
"","අකුණුගැසීම","","","","","","","","","","","","","","",""
"5
Kegalla","kpd;dy;/","","1582","5990","3","3","","0","6","905","9","","0","0","0","0 Three persons death Due to Tree"
"","Lightning /","2018.05.20","","","","","","","","","","","","","","fallen/Cutting Failure & Drowning"
"","දැඩි ෙර්ෂාෙ","","","","","","","","","","","","","","","Two persons death Due to"
"Rathnapura
6","","","9076","35391","2","4","","0","19","566","0","","0","0","0","0"
"","fLk; kio","2018.05.19/21","","","","","","","","","","","","","","Drowning and Collapse of a wall"
"7 Galle","Heavy","2018.05.19","502","1964","1","1","","0","10","239","20","","0","0","0","0 One person death Due to  Drowning"
"","Rain /","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","",""
"Kalutara","Drowning","2018.05.20","1580","6147","2","0","","0","8","225","5","","0","2","18","49 Two persons death Due to  Drowning"
"","දිවේ ගිලීම් /","","","","","","","","","","","","","","","One person death Due to Cutting"
"9","දැඩි සුලග","","","","","","","","","","","","","","","Failure & Two Persons death due"
"Kurunegala","fLk; fhw;W","2018.05.20","3656","12562","3","3","","0","31","254","86","","2","0","0","to Drowning 
0"
"","High Wind","","","","","","","","","","","","","","","Two  Persons death Due to"
"10","/ නායයෑම්","","","","","","","","","","","","","","","Lightning & One death Due to"
"Puttalam","අෙදානම","2018.05.21","8908","32266","3","0","","0","53","686","169","","96","13","258","Drowning
841"
"11 Monaragala","/ඉවුරු කඩා","2018.05.21","17","66","1","0","","0","0","16","0","","0","0","0","0 One person death Due to High wind"
"12 Matara","ෙැටීම","2018.05.21","132","467","0","0","","0","5","127","0","","0","0","0","0"
"13 Hambantota","kz;rhpT/","2018.05.21","47","140","0","0","","0","2","45","0","","2","0","0","0"
"","Landslide","","","","","","","","","","","","","","",""
"14 Gampaha","Risk","2018.05.21","755","2760","5","0","","0","8","658","0","","0","1","21","79 Four  Persons death Due to  Drowning"
"15 Matale","Cutting","2018.05.21","72","269","0","0","","0","0","69","1","","0","0","0","0"
