"","Weather Forecast for Main Cities","","","Date :","5-Apr-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","95","65","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","32","25","90","60","Showers or thundershowers are likely after 2.00p.m"
"Colombo","32","25","95","65","Showers or thundershowers"
"Galle","33","25","95","70","Showers or thundershowers"
"Jaffna","32","24","90","60","Showers or thundershowers are likely after 2.00p.m"
"Kandy","31","21","95","70","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","21","12","95","65","Showers or thundershowers after 2.00p.m"
"Ratnapura","35","24","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","33","24","90","65","Showers or thundershowers are likely after 2.00p.m"
"Mannar","32","25","90","65","Showers or thundershowers after 2.00p.m"
