"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","46","185","0","","0","0","0
46","","0","0","0","0","0"
"kj;jpa khfhzk;","","","","","","","","","","","","","","","",""
"","නුවරඑලිය","","","","","","","","","","","","","","",""
"Central","","","","","","","","","","","","","","","",""
"","3
Ambagamuwa
Etnuypah","High Wind","2020.04.14","5","26","","","","","5","","","","1","5","26 Venture Child Care Center"
"","Nuwara Eliya","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","5","26","0","","0","0","0
5","","0","0","1","5","26"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","51","211","0","","0","0","0
51","","0","0","1","5","26"
"","හම්බන්පතාට  
Lunugamwehera","","2020.04.28","17","73","","","","","16","","1","","","",""
"","4
`k;ghe;Njhl;il","High Wind","","","","","","","","","","","","","",""
"","Hambantota
Agunukolapelassa","","2020.04.27","1","6","","","","","1","","","","","",""
"දකුනු පලාත","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","18","79","0","","0","0","0
17","","1","0","0","0","0"
"njd; khfhzk;","","","","","","","","","","","","","","","",""
"","ගාල්ල","","","","","","","","","","","","","","",""
"Southern","","","","","","","","","","","","","","","",""
"","5
Elpitiya
fhyp","High Wind","2020.04.29","4","15","","","","","4","","","","","",""
"","Galle","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","4","15","0","","0","0","0
4","","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","22","94","0","","0","0","0
21","","1","0","0","0","0"
"","මුලතිව්","","","","","","","","","","","","","","",""
"උතුරු පලාත","6
Welioya
Ky;iyj;jPT","High Wind","2020.04.29","23","62","","","","","23","","1","","","",""
"tl khfhzk","Mulaitivu","","","","","","","","","","","","","","",""
"Northen","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","23","62","0","","0","0","0
23","","1","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","23","62","0","","0","0","0
23","","1","0","0","0","0"
"","අනුරාධපුර","","","","","","","","","","","","","","",""
"","7
Galenbidunuwewa
m.Guk;","High Wind","2020.04.27","24","80","","","","","24","","","","","",""
"","Anuradhapura","","","","","","","","","","","","","","",""
"උතුරුමැද පලාත","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","24","80","0","","0","0","0
24","","0","0","0","0","0"
"tlkj;jpa","","","","","","","","","","","","","","","",""
"","Hingurakgoda
පපාපලාන්නරුව","High Wind","2020.04.30","105","368","","","2","","1
104","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","",""
"","nghyd;dWit  
8","","","","","","","","","","","","","","",""
"North Central","","High Wind /","","","","","","","","","","","","","",""
"","Polonnaruwa
Thamankaduwa","","2020.04.30","10","35","1","","","","8","","1","","","",""
"","","Lightning","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","115","403","1","","2","0","1
112","","1","0","0","0","0"
