"","","","","Page 2","","","","","","","","",""
"හම්බන්ලතාට/`k;","","","","","","","","","","","","",""
"10
Lunugamwehera
Heavy Rain
ghe;Njhl;il","2021.01.04","1","4","","","","","1","","","","",""
"දකුනු පලාත/njd;","","","","","","","","","","","","",""
"Hambantota","","","","","","","","","","","","",""
"khfhzk;/","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total
Southern/","","1","4","0","0","0","0","1","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","1","4","0","0","0","0","1","0","0","0","0","0"
"Thamankaduwa","2021.01.03","2","4","","","","","2","","","","",""
"Highwind","","","","","","","","","","","","",""
"ලපාලලාන්නරුව/n
Lankapura","2021.01.01","1","5","","","","","1","","","","",""
"උතුරුමැද 
11
ghyd;dWit/Polon","","","","","","","","","","","","",""
"Hingurakgoda
Heavy Rain
පලාත/tlkj;jpa 
naruwa","","1","5","","","","1","","","","","",""
"","2021.01.03","","","","","","","","","","","",""
"khfhzk;/ North 
Welikanda
Lightning","","4","14","","","","","","","","","",""
"Central/","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","8","28","0","0","0","1","3","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","8","28","0","0","0","1","3","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","15583","52833","1","1","0","1","25","2","0","1","3","14"
"","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
"","","","","මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesman :","","","","","","","","",""
