"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","6","11","0","0","0","0","6"
"Koralaipattu West","56","188","","","","",""
"Koralaipattu","315","856","","","","",""
"Flood
Koralaipattu Central","663","2592","","","","","4"
"Koralaipattu South","734","2680","","","","","2"
"නැලගනහිර පලාත    
Eravur Pattu","2511","8292","","","","","1"
"fpof;F     Eastern
මඩකලපුව","","","","","","",""
"Eravur Town","711","2474","","","","",""
"8
Flood
kl;lf;fsg;G","2021.01.04","","","","","",""
"Manmunai North
Batticaloa","3837","13258","","","","",""
"Kattankudy
Flood","5498","18712","","","","",""
"Manmunaipattu","1156","3480","","","","",""
"Manmunaisouthwest","7","20","","","","",""
"Flood","","","","","","",""
