"","Weather Forecast for Main Cities","","","","20-Jan-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","95","65","Showers at times"
"Batticaloa","30","24","95","75","Showers at times"
"Colombo","31","25","95","60","Showers or thundershowers after 2.00p.m"
"Galle","30","26","90","75","Showers or thundershowers after 2.00p.m"
"Jaffna","30","24","95","70","Several spells of showers"
"Kandy","32","22","95","60","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","22","13","95","65","Showers or thundershowers after 2.00p.m"
"Ratnapura","34","23","95","55","Showers or thundershowers after 2.00p.m"
"Trincomalee","31","26","90","80","Showers at times"
"Mannar","30","26","90","80","Several spells of showers"
