"he forecast track and intensity of the system are given in the following table","","",""
"Date/Time","Position","Maximum sustained","Category of cyclonic"
"","(Lat. 0N/","surface wind speed","disturbance"
"","long. 0E)","(Kmph)",""
"13.05.23/0530","15.4/89.1","180-190 gusting to 210","Extremely Severe Cyclonic Storm"
"13.05.23/1130","16.3/89.8","190-200 gusting to 220","Extremely Severe Cyclonic Storm"
"13.05.23/1730","17.2/90.5","190-200 gusting to 220","Extremely Severe Cyclonic Storm"
"13.05.23/2330","18.2/91.1","180-190 gusting to 210","Extremely Severe Cyclonic Storm"
"14.05.23/0530","19.2/91.8","170-180 gusting to 200","Extremely Severe Cyclonic Storm"
"14.05.23/1130","20.2/92.6","150-160 gusting to 175","Very Severe Cyclonic Storm"
"14.05.23/1730","21.3/93.6","115-125 gusting to 140","Very Severe Cyclonic Storm"
