"","","","","","","","","","","","","","",""
"Dehiovita","Tree Fallen","2020.07.20","11","35","Page 2","","","","4","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","Cutting Failure","2020.07.20","1","6","","","","","","","","","",""
"Warakapola","","","","","","","","","","","","","",""
"","Tree Fallen","2020.07.20","3","12","","","","","2","","","","",""
"Mawanella","Rock Fallen","2020.07.19","1","4","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","64","255","0","0","0","0","48","1","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","64","255","0","0","0","0","48","1","0","0","0","0"
"Vavuniya South","","","4","10","","","","","4","5","","","",""
"වව්නනියාව tTdpah","","","","","","","","","","","","","",""
"7","High Wind","2020.07.20","","","","","","","","","","","",""
"Vavuniya
උතුරු පලාත      tl","","","","","","","","","","","","","",""
"Vavuniya North","","","9","29","1","3","","","6","1","","","","Child death due to tree fallen"
"khfhzk; Northen","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","13","39","1","3","0","0","10","6","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","13","39","1","3","0","0","10","6","0","0","0","0"
"Kadawathsathara","","","2694","9178","","","","","51","","","","",""
"Elpitiya","","","3","12","","","","","3","","","","",""
"Baddegama","","","4","13","","","","","4","","","","",""
"Niyagama","","","2","8","","","","","2","","","","",""
"Imaduwa","","","55","211","","","","1","27","","","","",""
"Balapitiya","","","1","3","","","","","1","","","","",""
"Nagoda
ගාල්ල","","","2","7","","","","","2","","","","",""
"8
fhyp         
Habaraduwa","High Wind","2020.07.20","7","23","","","","","7","","","","",""
"දකුනු පලාත","","","","","","","","","","","","","",""
"Galle
njd; khfhzk","","","","","","","","","","","","","",""
"Karandeniya","","","3","8","","","","","3","","","","",""
"Southern","","","","","","","","","","","","","",""
"Akmeemana","","","610","2200","","1","","","30","3","","","",""
"Ambalangoda","","","5","19","","","","","5","","","","",""
"Yakkalamulla","","","8","31","","","","1","7","","","","",""
"Bope Poddala","","","6","27","","","","","","","","","",""
"Velivitiya Divithura","","","1","5","","","","","1","","","","",""
"Thawalama","","","1","3","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","3402","11748","0","1","0","2","144","3","0","0","0","0"
