"","Weather Forecast for Main Cities","","","","3-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","23","90","60","Mainly fair"
"Batticaloa","31","25","90","70","Mainly fair"
"Colombo","33","26","85","50","Mainly fair"
"Galle","32","25","85","70","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","31","24","95","60","Mainly fair"
"Kandy","33","20","90","60","Mainly fair"
"Nuwara-Eliya","22","11","90","60","Mainly fair"
"Ratnapura","36","22","85","50","Showers or thundershowers are likely after 4.00p.m"
"Trincomalee","31","26","80","65","Mainly fair"
"Mannar","33","25","90","60","Mainly fair"
