"","Weather Forecast for Main Cities","","","","21-Oct-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","90","55","Showers or thundershowers after 2.00p.m"
"Batticaloa","31","26","90","65","Showers or thundershowers after 2.00p.m"
"Colombo","30","26","95","75","Showers at times"
"Galle","29","26","95","80","Showers at times"
"Jaffna","28","24","95","60","Showers or thundershowers"
"Kandy","30","22","95","70","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","20","13","95","60","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","32","23","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","32","24","90","75","Showers or thundershowers after 2.00p.m"
"Mannar","31","25","95","60","Showers or thundershowers"
