"Mahawilachchiya
High Wind","2024.08.05","1","4","","","","","1","","","","",""
"අනුරාධ්‍පුර   m.Guk;","","","","","","","","","","","","",""
"උතුරුමැද පලාත 
8","","","","","","","","","","","","",""
"Anuradhapura","","","","","","","","","","","","",""
"tlkj;jpa","","","","","","","","","","","","",""
"Nochchiyagama
Fire","2024.08.11","","","","","","","","4","","","",""
"khfhzk;","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total
North Central","","1","4","0","0","0","0","1","4","0","0","0","0"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","1","4","0","0","0","0","1","4","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","8525","26907","0","0","1","0","4","4","0","1","3","17"
"","","","","ආපදා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
