"දිස්ත්‍රික්කය","","","","","","","","හානි","","","","","",""
"","","","","","","People","People","","","நிறுவனங்களின்","","","",""
"","gpuNjr nra.gp     DS","","FLk;gq;fs;","egHfs;","","","","","gFjpasT","","fl;likg;Gf;fs;","vz;zpf;i","egHfs; 
FLk;gq;f",""
"மாவட்டம் District","","","","","","","","KOik","","","","","",""
"","","","Families","People","","","","","Partially","சேதங்கள்; Small,","Damages to","f   No.","s; 
Persons",""
"","Division","","","","","","","Fully","","","","","",""
"","","","","","","","","","","Medium,","critical","of Safety","Families",""
"","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","Damages","","","",""
"","Imbulpe","2023.08.10","345","1220","","","","","","","","","",""
"","","Drinking water scarcity","","","","","","","","","","","",""
"","Weligepola","2023.08.10","2651","9250","","","","","","","","","","Providing Drinking"
"","","due to prevailing dry","","","","","","","","","","","",""
"","","","","","","","","","","","","","","Water"
"රත්නපුර","Godakawela","2023.08.11","715","2710","","","","","","","","","",""
"","","weather condition","","","","","","","","","","","",""
"1
,uj;jpdGhp","Kaltota","2023.08.11","328","936","","","","","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","",""
"Rathnapura","Kolonna","High Wind
2023.08.13-14","3","9","","","","","3","","","","",""
"rg;ufKt","","","","","","","","","","","","","",""
"Sabaragamuwa","Godakawela","High Wind
2023.08.10","1","2","","","","","1","","","","",""
"","Kiriella","High Wind
2023.08.14","1","1","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","4044","14128","0","0","0","0","5","0","0","0","0","0"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","4044","14128","0","0","0","0","5","0","0","0","0","0"
"","Seruwila","","1283","4323","","","","","","","","","",""
"ත්‍රීකුණාමලය","","Drinking water scarcity","","","","","","","","","","","",""
"jp.kiy 
2","Kuchchaveli","due to prevailing dry 
2023.08.01","987","3219","","","","","","","","","",""
"Trincomalee","","weather condition","","","","","","","","","","","",""
"","Gomarankadawela","","50","195","","","","","","","","","",""
