"","Weather Forecast for Main Cities","","","","6-Feb-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","33","23","90","50","Mainly fair"
"Batticaloa","30","24","90","70","Mainly fair"
"Colombo","32","25","90","55","Mainly fair"
"Galle","32","24","90","70","Mainly fair"
"Jaffna","31","24","80","65","Mainly fair"
"Kandy","30","20","90","55","Mainly fair"
"Nuwara-Eliya","22","14","95","65","Mainly fair"
"Ratnapura","35","22","95","55","Mainly fair"
"Trincomalee","30","26","90","70","Mainly fair"
"Mannar","32","25","85","65","Mainly fair"
