"","Weather Forecast for Main Cities","","","Date :","11-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","23","90","50","Showers or thundershowers at times"
"Batticaloa","29","24","85","70","Showers or thundershowers at times"
"Colombo","30","24","85","60","Showers or thundershowers after 2.00p.m"
"Galle","30","24","90","70","Showers or thundershowers after 2.00p.m"
"Jaffna","30","22","90","60","Showers or thundershowers at times"
"Kandy","29","20","90","55","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","18","12","90","40","Showers or thundershowers at times"
"Ratnapura","32","22","95","55","Showers or thundershowers after 2.00p.m"
"Trincomalee","29","25","85","65","Showers or thundershowers at times"
"Mannar","30","24","90","65","Showers or thundershowers at times"
