"","","Bandaragama","Flood/ Highwind","2023.09.27-29","8","35","","","","","8","","","","",""
"","","Beruwala","High Wind","2023.09.29","4","15","","","","","4","","","","",""
"","","","Flood/","","","","","","","","","","","","",""
"","","Bulathsinhala","Highwind/Cutting","2023.09.27-30","20","69","","","","","20","","","","",""
"","","","Failture","","","","","","","","","","","","",""
"","","Mathugama","High Wind","2023.09.28-30","7","22","","","","","7","","","","",""
"","කළුතර","Millaniya","Flood","2023.09.29-30","102","395","","","","","102","","","","",""
"2","fSj;Jiw","","","","","","","","","","","","","","",""
"Western","","Agalawattha","High Wind","2023.09.29","5","19","","","","","5","","","","",""
"","Kalutara","","","","","","","","","","","","","","",""
"Nky; khfhzk;","","Horana","High Wind","2023.09.29","2","10","","","","","2","","","","",""
"බසරනාහිර පලාත","","","","","","","","","","","","","","","",""
"","","Walallavita","High Wind","2023.09.29","1","4","","","","","1","","","","",""
"","","Ingiriya","Flood","2023.09.29-30","5","13","","","","","5","","","","",""
"","","Kalutara","High Wind","2023.09.29-30","106","403","","","","","8","","","","",""
"","","Dodangoda","Flood","2023.09.30","3","12","","","","","3","","","","",""
"","","Madurawela","Flood","2023.09.30","9","37","","","","","9","","","","",""
"","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","272","1034","0","0","0","0","174","0","0","0","0","0"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","","272","1034","0","0","0","0","174","0","0","0","0","0"
"","","Akuressa","","","166","686","","","","","5","","","","",""
"","","Thihagoda","","","120","443","","","","","32","","","","",""
"","","Malimbada","","","34","235","","","","","3","","","","",""
"","","Devinuwara","","","13","48","","","","","2","","","","",""
"","","Weligama","","","56","252","","","","","4","","","","",""
"","","Kamburupitiya","","","172","705","","","","","4","","","","",""
"","","Athuraliya","","","143","472","","","","","4","","","","",""
"","මාතර","","","","","","","","","","","","","","",""
"","","Kirinda","","","3","13","","","","","3","","","","",""
"3","khj;jiw","","Flood","2023.09.28","","","","","","","","","","","",""
"දකුනු පලාත","","","","","","","","","","","","","","","",""
"","Matara","Pasgoda","","","7","25","","","","","7","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","","",""
"","","Hakmana","","","3","8","","","","","3","","","","",""
"Southern","","","","","","","","","","","","","","","",""
"","","Matara","","","66","269","","","","","9","","","","",""
"","","Pitabeddara","","","5","21","","","","","5","","","","",""
"","","Mulatiyana","","","5","20","","","","","5","","","","",""
"","","Kotapola","","","6","34","","","","","4","","","","",""
"","","Dickwella","","","3","9","","","","","3","","","","",""
"","","Welipitiya","","","2","7","","","","","2","","","","",""
"","දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","804","3247","0","0","0","0","95","0","0","0","0","0"
