"","Weather Forecast for Main Cities","","","","4-May-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","38","27","90","50","Mainly fair"
"Batticaloa","33","27","95","70","Mainly fair"
"Colombo","33","27","90","70","Showers or thundershowers are likely after 2.00p.m"
"Galle","32","27","90","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","36","29","85","60","Mainly fair"
"Kandy","34","24","95","55","Mainly fair"
"Nuwara-Eliya","25","13","90","50","Mainly fair"
"Ratnapura","35","26","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","37","27","90","50","Mainly fair"
"Mannar","34","28","95","70","Mainly fair"
