"","","","","Date :","10-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","23","95","60","Showers or thundershowers at times"
"Batticaloa","29","24","95","70","Showers or thundershowers at times"
"Colombo","33","25","90","70","Showers or thundershowers after 2.00p.m"
"Galle","31","25","90","70","Showers or thundershowers after 2.00p.m"
"Jaffna","32","22","95","65","Showers or thundershowers at times"
"Kandy","30","20","95","65","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","20","12","95","55","Showers or thundershowers at times"
"Ratnapura","33","23","95","55","Showers or thundershowers after 2.00p.m"
"Trincomalee","30","24","95","65","Showers or thundershowers at times"
"Mannar","32","24","95","65","Showers or thundershowers after 2.00p.m"
