"Gampaha","Heavy Rain","2","9","","","","","2","","","","",""
"Mahara","Heavy Rain & Wind","1","4","","","","","1","1","","","",""
"ගම්පහ/fk;g`h/","2022.05.13/14/15/","","","","","","","","","","","",""
"3
Dompe","Tree Fallan","6","29","","","","","6","1","","","",""
"Gampaha","16/17","","","","","","","","","","","",""
"Minuwangoda","High Wind","1","4","","","","","1","","","","",""
"Atthangalla","Heavy Rain & Wind","4","21","","","","","4","1","","","",""
"දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","14","67","0","0","0","0","14","3","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","153","578","0","1","0","0","118","3","0","0","0","0"
"මුලතිව්/Ky;iyj;jPT","","","","","","","","","","","","",""
"4
Puthukuduiruppu","High Wind
5/16/2022","1","3","","","","","1","","","","1","3"
"/  Mulaitivu","","","","","","","","","","","","",""
