"","Weather Forecast for Main Cities","","","Date :","5-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","24","95","65","Mainly fair"
"Batticaloa","30","25","95","75","Mainly fair"
"Colombo","31","24","95","70","Mainly fair"
"Galle","31","25","95","85","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","33","23","95","70","Mainly fair"
"Kandy","30","21","95","65","Mainly fair"
"Nuwara-Eliya","21","15","95","60","Mainly fair"
"Ratnapura","33","23","95","60","Showers or thundershowers are likely after 4.00p.m"
"Trincomalee","31","25","90","70","Mainly fair"
"Mannar","32","26","95","70","Mainly fair"
