"","Weather Forecast for Main Cities","","","Date :","29-Aug-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","55","Mainly fair"
"Batticaloa","36","26","90","45","Mainly fair"
"Colombo","31","24","95","70","Several spells of showers"
"Galle","30","25","90","75","Several spells of showers"
"Jaffna","32","27","85","65","Mainly fair"
"Kandy","30","23","95","65","Several spells of showers"
"Nuwara-Eliya","18","14","95","75","Several spells of showers"
"Ratnapura","33","24","95","60","Several spells of showers"
"Trincomalee","35","26","85","50","Mainly fair"
"Mannar","31","27","90","70","Mainly fair"
