"","Weather Forecast for Main Cities","","","Date :","12-Jan-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","24","95","70","Showers at times"
"Batticaloa","29","24","95","80","Showers at times"
"Colombo","31","25","85","55","Showers or thundershowers after 2.00p.m"
"Galle","30","25","95","75","Showers or thundershowers after 2.00p.m"
"Jaffna","28","24","90","80","Showers at times"
"Kandy","29","21","95","70","Showers at times"
"Nuwara-Eliya","20","13","95","65","Showers or thundershowers"
"Ratnapura","31","24","90","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","28","24","95","80","Showers at times"
"Mannar","29","26","90","75","Showers at times"
