"njd; khfhzk;","","","","","","","","","","","","","","","","","",""
"Southern","","","Thangalla","High wind","2025.06.14/15","2","5","","","","","2","","","","","",""
"","","","","Heavy Rain and High","","","","","","","","","","","","","",""
"","","","Beliaththa","","2025.06.15/16","3","13","","","","","2","","","","","",""
"","","","","Wind","","","","","","","","","","","","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","15","50","0","0","0","0","12","0","0","0","0","0",""
"","","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","","15","50","0","0","0","0","12","0","0","0","0","0",""
"","","","Sandilippay","High wind","2025.06.14","1","2","","","","","1","","","","","",""
"","","යාපනය","Tellippalai","High wind","2025.06.15","1","1","","","","","1","","","","","",""
"","4","","","","","","","","","","","","","","","","",""
"උතුරු පලාත","","aho;g;ghzk; Jaffna","","","","","","","","","","","","","","","",""
"","","","Velanai","High wind","2025.06.16","1","4","","","","","1","","","","","",""
"tl khfhzk;","","","","","","","","","","","","","","","","","",""
"Northen ;","","","Uduvil","High wind","2025.06.15","1","5","","","","","1","","","","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","","4","12","0","0","0","0","4","0","0","0","0","0",""
"","","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","","4","12","0","0","0","0","4","0","0","0","0","0",""
"","මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","","150","548","0","0","0","1","146","0","0","0","0","0",""
