"","","","","","","","Page 4","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","","","Galgamuwa","","","11","31","1","","","","","","","","","Death due to drowning"
"","","","","Flood","","","","","","","","","","","","",""
"","","","Ehetuwewa","","","260","903","","","","","","","","","",""
"","","","Polpithigame","","","105","364","","","","1","28","","","","",""
"","","","Ibbagamuwa","Landslide","2019.12.20","80","310","","","","","4","1","","","",""
"","","","Maho","","","42","146","","","","2","2","","","","",""
"","","කුරුනෑගල","Bingiriya","","","174","653","","","","","","","","2","174","653"
"","9","FUdhfy;","Abanpola","","","72","200","","","","","7","","","1","37","111"
"","","Kurunegala","Ganewatta","","","38","126","","","","1","2","","","","",""
"","","","Rasnayakapura","","","114","374","","","","","","","","2","114","374"
"","","","","Flood","","","","","","","","","","","","",""
"","","","Giribawa","","","96","332","1","","","","1","","","3","70","254 Death due to drowning"
"","","","","","2019.12.21","","","","","","","","","","","",""
"","","","Wariyapola","","","29","92","","","","","1","","","","",""
"වයඹ පලොත","","","","","","","","","","","","","","","","",""
"","","","Kobeigane","","","7","33","","","","","1","","","","",""
"tlNky;","","","","","","","","","","","","","","","","",""
"khfhzk;","","","Nikaweratiya","","","72","231","","","","","1","","","3","37","106"
"North Western","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","1100","3795","2","0","0","4","47","1","0","11","432","1498"
"","","","Nagahawattegama","","","265","810","","","","","10","","","2","35","98"
"","","","Wanathavilluwa","","","378","1472","","","","","26","","","3","163","618"
"","","","Pallama","","","74","243","","","","","1","","","1","22","50"
"","","","Puttalama","","","432","1549","","","","","12","3","","2","148","422"
"","","පුත්තල   Gj;jsk;","Karuwalagaswewa","","","178","539","","","","","50","","","3","106","310"
"","10","","","Heavy Rain","2019.12.20","","","","","","","","","","","",""
"","","Puttalam","Kalpitiya","","","38","128","","","","","","","","","",""
"","","","Anamaduwa","","","126","406","","","","","1","","","1","25","72"
"","","","Mundalama","","","45","156","","","","","","","","","",""
"","","","Chilaw","","","380","1340","","","","","","","","4","280","980"
"","","","Arachchikattuwa","","","357","1331","","","","","","1","","4","162","555"
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","2273","7974","0","0","0","0","100","4","0","20","941","3105"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","3373","11769","2","0","0","4","147","5","0","31","1373","4603"
"","","","Mawanelle","Tree fallen","","1","5","","","","","1","","","","",""
"","","","","Lightning","2019.12.19","2","9","","","","","2","","","","",""
"","","කෑගල්ල Nffhiy","Yatiyantota","","","","","","","","","","","","","",""
"ස්ත්‍බරගමුව පලොත","11","","","High wind","","1","4","","","","","1","","","","",""
"","","Kegalle","","","","","","","","","","","","","","",""
"rg;ufKt","","","","Tree fallen","2019.12.20","1","5","","","","","1","","","","",""
"","","","Warakapola","","","","","","","","","","","","","",""
"Sabaragamuwa","","","","Wall collaps","2019.12.19","1","2","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","6","25","0","0","0","0","6","0","0","0","0","0"
"","","පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","6","25","0","0","0","0","6","0","0","0","0","0"
"","","","Rajanganaya","","","198","593","","","","","","","","8","198","593"
"","","","Palagala","","","174","653","","","","2","8","","","1","67","265"
"","","","Palugaswewa","","","70","174","","","","","","","","2","65","156"
"","","","Nuwaragam Palatha","","","2","7","","","","","","","","1","2","7"
"","","අනුරොධ්‍පුර m.Guk;","","","","","","","","","","","","","","",""
"","12","","Thambuththegama","Flood","2019.12.19/20","149","489","","","","","","","","3","149","489"
"","","Anuradhapura","","","","","","","","","","","","","","",""
"","","","Thalawa","","","110","353","","","","","","","","1","60","179"
"","","","Ipalogama","","","304","1044","","","","","2","","","6","287","981"
"","","","Galnewa","","","265","956","","","","","","","","4","194","697"
"","","","Nachchaduwa","","","","72","","","","14","24","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","1272","4341","0","0","0","16","34","0","0","26","1022","3367"
