"","Landslide","","","","","","","","","","","","",""
"Nuwara Eliya","2019.12.19","1","5","","","","1","","","","1","1","","5 Headrest Cultural Central"
"","Flood
2019.12.20","2","11","","","","","","","","1","2","","11 Park School"
"","","","","","","","","","","","","","","01. Munwatte Temple,  02."
"","","","","","","","","","","","","","","Naranthalawa Wewakele"
"","","","","","","","","","","","","","","temple,                03."
"","","","","","","","","","","","","","","Magrat School,       04."
"","","","","","","","","","","","","","","Ekangapura School, 05."
"නුවරඑලිය","","","","","","","","","","","","","","Brooksight Childcare"
"","2019.11.30/12.11","","","","","","","","","","10","107","272","centre"
"6
Etnuypah","","","","","","","","","","","","","",""
"","Land Slide Risk","","","","","","","","","","","","","06.Liyanwala School, 07."
"Nuwara Eliya","","","","","","","","","","","","","","Watambe School, 08."
"Walapane","","","","","","","","","","","","","","Harasbedda Temple  09."
"","","","","","","","","","","","","","","Kalamulle Temple       10."
"","","","","","","","","","","","","","","Rockland State  Childcare"
"","","","","","","","","","","","","","","centre"
"ධ්‍ය  පලොත","2019.12.20","38","124","","","","","","","","1","38","","124 Ilukpelesse Multiwok"
"","","","","","","","","","","","","","","building"
"kj;jpa khfhzk;","","","","","","","","","","","","","",""
"Central","Heavy Rain
2019.12.19","74","249","","","","1","73","","","","","",""
"Hankuranketha","Landslide Risk
2019.11.30","","","","","","","","","","1","2","10","Kithulpe Temple"
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","115","389","0","0","0","2","73","0","0","15","152","433",""
"Galewela","2019.12.18","1","2","","","","","1","","","","","",""
"Dambulla","2019.12.20","195","623","","","","","175","","","2","13","54",""
"Mathale","2019.12.20","4","16","","","","","4","","","","","",""
"Wilgamuwa","2019.12.18","134","451","","","","","56","","","","","",""
"Laggala Pallegama","2019.12.20","20","57","","","","","10","3","","","","",""
"ොතමල් khj;jis","","","","","","","","","","","","","",""
"7
Abangnga","Heavy Rain 
2019.12.20","33","117","","","","","12","","","","","",""
"Matale","","","","","","","","","","","","","",""
"Yatawaththa","2019.12.20","46","155","","","","","1","","","","","",""
"Raththota","2019.12.20","10","38","","","","","10","","","","","",""
"Naula","2019.12.20","17","67","","","","","9","","","","","",""
