"","Weather Forecast for Main Cities","","","","6-Jul-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","26","90","60","Mainly fair"
"Batticaloa","33","25","90","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","32","25","90","75","Several spells of showers"
"Galle","30","24","95","80","Several spells of showers"
"Jaffna","32","28","90","65","Mainly fair"
"Kandy","30","23","95","65","Several spells of showers"
"Nuwara-Eliya","20","14","95","70","Several spells of showers"
"Ratnapura","31","24","95","65","Showers at times"
"Trincomalee","35","25","90","55","Mainly fair"
"Mannar","31","28","90","75","Mainly fair"
