"Mantha west","171","653","","","","","1","","","","",""
"මන් ාරම","","","","","","","","","","","",""
"Nannatan","1
2023.12.14-","4","","","","","1","","","","",""
"4
Flood
kd;dhH","","","","","","","","","","","",""
"","2023.12.20","","","","","","","","","","",""
"Mannar Town
Mannar","404","1495","","","","","1","","","","",""
"Madu","52","119","","","","","","","","","",""
"උතුරු පලාත       
දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","","","","","","","","","",""
"","628","2271","0","0","0","0","3","0","0","0","0","0"
"tl khfhzk;","","","","","","","","","","","",""
"Kopay","374","1157","","","","","1","","","","",""
"Northen ;","","","","","","","","","","","",""
"Uduvil","1","6","","","","","1","","","","",""
"Chavakachcheri","65","223","","","","","19","","","","",""
"Sandipillay","92","297","","","","","6","","","","",""
"Pointpedro","212","712","","","","","6","","","","",""
"Chankanai","784
2023.12.17-","2688","","","","","7","","","","",""
"Flood","","","","","","","","","","","",""
"යාප ය","2023.12.20","","","","","","","","","","",""
"5
Tellippalai","117","439","","","","","2","","","","",""
"aho;g;ghzk; Jaffna","","","","","","","","","","","",""
"Karaveddy","42","144","","","","","2","1","","1","28","91 Annai Pre School"
"Karainagar","80","264","","","","","","","","","",""
"Jaffna","32","119","","","","","","","","","",""
"Velanai","15","58","","","","","1","","","","",""
"Kayts","310","940","","","","","","","","","",""
"Delft
Highwind","2023.12.21
1","1","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","2125","7048","0","0","0","0","46","1","0","1","28","91"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","7792","24829","0","1","0","0","103","1","0","2","32","108"
"ත්‍රීකුණාමලය","","","","","","","","","","","",""
"6
Kinniya
Heavy Rain
jp.kiy","2023.12.19
101","214","","","","","","","","","",""
"ැනෙ හිර පලාත 
Trincomalee","","","","","","","","","","","",""
"fpof;F       Eastern","","","","","","","","","","","",""
