"","Weather Forecast for Main Cities","","","","31-Oct-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","95","55","Showers or thundershowers after 2.00p.m"
"Batticaloa","30","25","90","75","Showers or thundershowers after 2.00p.m"
"Colombo","30","26","90","70","Showers or thundershowers after 2.00p.m"
"Galle","29","26","90","75","Several spells of showers"
"Jaffna","32","24","95","75","Several spells of showers"
"Kandy","30","22","95","65","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","20","13","95","75","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","33","24","95","75","Showers or thundershowers after 2.00p.m"
"Trincomalee","33","25","90","60","Showers or thundershowers"
"Mannar","31","26","95","75","Showers or thundershowers are likely after 4.00p.m"
