"Udubaddawa
High Wind","2024.06.02-08","23","60","","","","","23","5","","","",""
"වයඹ පලොත","","","","","","","","","","","","",""
"Heavy rain","2024.06.03","1","2","","","","","1","","","","",""
"Pannala
tlNky; khfhzk","","","","","","","","","","","","",""
"කුරුණෑගල","","","","","","","","","","","","",""
"Lightning","2024.06.03","3","11","","","","","3","","","","",""
"North Western","","","","","","","","","","","","",""
"12
FUdhfy;","","","","","","","","","","","","",""
"Kuliyapitiya East
High Wind","2024.06.02","23","61","","","","","19","4","","","",""
"Kurunegala","","","","","","","","","","","","",""
"Bingiriya
flood","2024.06.07","1","2","","","","","1","","","","",""
"Narammala
High Wind","2024.06.02","1","2","","","","","1","","","","",""
"දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","52","138","0","0","0","0","48","9","0","0","0","0"
"පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","107","335","0","0","0","0","73","9","0","0","0","0"
"Gaga Ihala Koralaya","2024.06.02","1","2","","","","","1","","","","",""
"Pasbage","2024.06.03","1","5","","","","","1","","","","",""
"නුවර                  
Akurana","2024.06.05","1","5","","","","","1","","","","",""
"fz;b       
13
Heavy Rain","","","","","","","","","","","","",""
"මධ්‍යම පලොත 
Udapalatha","2024.06.03","1","2","","","","","1","","","","",""
"Kandy","","","","","","","","","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","",""
"Hataraliyadda","2024.06.02","1","4","","","","","1","","","","",""
"Central","","","","","","","","","","","","",""
"Panvila","2024.05.29","2","7","","","","","2","","","","",""
"දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","7","25","0","0","0","0","7","0","0","0","0","0"
"පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","7","25","0","0","0","0","7","0","0","0","0","0"
"Megahakiula
High Wind","2024.06.04","1","3","","","","","1","","","","",""
"බදුල්ල","","","","","","","","","","","","",""
"14
Haputale
High Wind","2024.06.01","2","9","","","","","2","","","","",""
"ඌව                    
gJs;is  Badulla","","","","","","","","","","","","",""
"Cth khfhzk; 
Haliela
Heavy Rain","2024.06.02","1","4","","","","","1","","","","",""
"Uva","","","","","","","","","","","","",""
"දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total","","4","16","0","0","0","0","4","0","0","0","0","0"
"පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","4","16","0","0","0","0","4","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","31451","117973","23","7","1","78","6340","1253","101","17","136","466"
"","","","","ආපදො කළම ොකරණ මධ්‍යස්ථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
