"","Weather Forecast for Main Cities","","","","4-Jan-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","22","95","70","Mainly fair"
"Batticaloa","31","25","85","75","A few showers"
"Colombo","31","24","85","70","Showers or thundershowers are likely after 2.00p.m"
"Galle","30","23","90","80","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","31","24","90","70","Mainly fair"
"Kandy","30","22","95","70","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","21","12","95","75","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","32","23","95","65","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","31","25","85","70","Mainly fair"
"Mannar","30","24","85","70","Mainly fair"
