"Siyambalanduwa","","10","42","","","","","10","","","","",""
"2
nkhdwhfiy","2019.11.30","","","","","","","","","","","",""
"Monaragala","","1","5","","","","","1","","","","",""
"Moneragala","Heavy Rain","","","","","","","","","","","",""
"Buttala","","1","4","","","","","1","","","","",""
"Kataragama","","2","9","","","","","2","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","34","114","0","0","0","0","30","0","0","1","20","54"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","499","2157","0","0","0","5","280","0","0","13","212","842"
"Koralaipattu","2019.11.29","275","885","","","","","","","","","",""
"Koralaipattu North","2019.12.05","659","1990","","","","","","","","","",""
"Koralaipattu West","2019.12.04","156","581","","","","","2","","","","",""
"Flood","","","","","","","","","","","","",""
"Koralaipattu south","2019.11.29","23","47","","","","","3","","","1","23","47"
"Koralaipattu central","2019.12.06","1037","4093","","","","","","","","","",""
"","","48","138","","1","","","14","","","","",""
"Manmunai west","2019.11.29","","","","","","","","","","","",""
"","Lightning","1","5","","","","","","","","","",""
"","","","","","","","","","","","","","Pre School, Navatkudha"
"Manmunai North","2019.11.26","5301","18202","","","","1","3","","","2","30","East/ Saratha School, 
61"
"","","","","","","","","","","","","","Navatkudah East"
"kattankudy","2019.11.29","107","384","","","","","","1","","","",""
"මඩකලපුව","","","","","","","","","","","","",""
"Manmunai pattu
3
kl;lf;fsg;G","2019.11.28","2208","8308","","","","","3","","","3","166","649 karbala mosque,"
"","","","","","","","","","","","","","arayampathi East"
"Batticaloa","","","","","","","","","","","","",""
"Monmunai south & EP","2019.12.02","280","956","","","","","2","","","1","25","96 Multy Purpose Building,"
"","","","","","","","","","","","","","Othachchimadam North"
