"","","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","","Damages","","","",""
"","Godakawela","High Wind","2022.07.26-27","2","6","","","","","2","","","","",""
"","Weligepola","High Wind","2022.07.27","2","7","","","","","2","","","","",""
"රත්නපුර","","","","","","","","","","","","","","",""
"1
,uj;jpdGhp","","High Wind","2022.07.27","3","13","","","","","3","","","","",""
"සබරගමුෙ පලාත","","","","","","","","","","","","","","",""
"Rathnapura","Kuruwita","","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","",""
"","","Lightning","2022.07.27","1","4","","","","","1","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","",""
"","Balangoda","Lightning","2022.07.27","1","4","1","3","","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","9","34","1","3","0","0","8","0","0","0","0","0"
"","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","","9","34","1","3","0","0","8","0","0","0","0","0"
"හම්බනවතාට","","Lightning","2022.07.25","1","3","","","","","1","","","","",""
"2
`k;ghe;Njhl;il","Thissamaharama","","","","","","","","","","","","","",""
"දකුනු පලාත","","","","","","","","","","","","","","",""
"Hambantota","","High Wind","2022.07.25","1","4","","","","","1","","","","",""
"njd; khfhzk","","","","","","","","","","","","","","",""
"Southern","","","","","","","","","","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","2","7","0","0","0","0","2","0","0","0","0","0"
