"B
ay of Bengal",""
"W
eather:",""
"EQ-10N, 93E-100E",": Showers or thundershowers at most places."
"EQ- 10N, 80E-85E",": Showers or thundershowers at several places."
"10N- 20N, 80E-100E",": Showers or thundershowers at several places."
"Other sea areas",": Showers or thundershowers at a few places."
"Winds:",""
"04N - 20N, 80E-90E",": South-westerly / (30-40) kmph; gusting up to (50-60) kmph."
"Other sea areas",": South-westerly or Variable/ (20-35) kmph."
"S
tate of the Sea:",""
"04N - 20N, 80E-90E",": Fairly rough, rough at times."
"Other sea areas",": Slight to moderate."
