"","කළුතර","","","","","","","","","","","","","",""
"","Ingiriya","2024.07.15","1","2","","","","","1","","","","","",""
"","6
High Wind
fSj;Jiw","","","","","","","","","","","","","",""
"","Beruwala
Kalutara","2024.07.14","4","17","","","","","4","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","5","19","0","0","0","0","5","0","0","0","0","0",""
"Western","","","","","","","","","","","","","","",""
"Nky; khfhzk","Homagama","","4","16","","","","","4","","","","","",""
"","නකොළඹ","","","","","","","","","","","","","",""
"බස්ත්‍ර ොහිර පලොත","7
High Wind","2024.07.15","","","","","","","","","","","","",""
"","nfhOk;G Colombo","","","","","","","","","","","","","",""
"","Rathmalana","","21","85","","","","","21","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","25","101","0","0","0","0","25","0","0","0","0","0",""
"","පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","30","120","0","0","0","0","30","0","0","0","0","0",""
"","අම්පොර","","","","","","","","","","","","","","02 Persons have gone"
"","mk;ghiw    
8
Addalachchenai
Boat Missing","2024.07.13","","","","","2","","","","","","","","to sea for fishing"
"ැනග හිර පලොත","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","activities"
"","Ampara","","","","","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","","",""
"Eastern","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","0","0","0","0","2","0","0","0","0","0","0","0",""
"","පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","0","0","0","0","2","0","0","0","0","0","0","0",""
"","Lunugala
High Wind","2024.07.13","1","4","","","","","1","","","","","",""
"","Ella","2024.07.09","1","2","","","","","1","","","","","",""
"","Heavy Rain","","","","","","","","","","","","","",""
"","Bandarawela
බදුල්ල/gJs;is/Ba","2024.07.07","8","31","","","","","7","","","","","",""
"","9","","","","","","","","","","","","","",""
"","dulla
Badulle
Cutting faiure","2024.07.06","1","4","","","","","1","","","","","",""
"ඌව/Cth","","","","","","","","","","","","","","",""
"khfhzk;/Uva","Rideemaliyadda","2024.07.13","1","4","","","","","1","","","","","",""
"","High Wind","","","","","","","","","","","","","",""
"","Haldumulle","2024.07.14","1","4","","","","","1","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","13","49","0","0","0","0","12","0","0","0","0","0",""
