"","Weather Forecast for Main Cities","","","Date :","27-Aug-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","90","60","Mainly fair"
"Batticaloa","34","26","90","65","Mainly fair"
"Colombo","30","26","95","70","Several spells of showers"
"Galle","29","25","90","75","Several spells of showers"
"Jaffna","32","27","85","50","Mainly fair"
"Kandy","29","23","85","70","Several spells of showers"
"Nuwara-Eliya","19","14","95","65","Several spells of showers"
"Ratnapura","33","23","95","60","Several spells of showers"
"Trincomalee","35","25","85","55","Mainly fair"
"Mannar","30","28","85","70","Mainly fair"
