"","","යාපනය","","","","","","","","","","","","","","",""
"","5","aho;g;ghzk;","","","","","","","","","","","","","","",""
"","","","","2018.11.16","","","","","","","","","","","","",""
"","","Jaffna","","","","","","","","","","","","","","","2"
"උතුරු පලාත","","","","","","","","","","","","","","","","",""
"tl","","","","Cyclone (GAJA)","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","",""
"Northen","","","","","","","","","","","","","","","","",""
"","","","","","368","1269","","","","","337","31","","","","",""
"","","","Chavakachceri","","","","","","","","","","","","","",""
"","","","","Flood
2018.11.18","25","96","","","","","2","","","1","23","92",""
"","","","Karaveddy","","38","125","","","","","38","","","","","",""
"","","","Pointpedro","Cyclone (GAJA)
2018.11.16","102","341","","","","2","32","","","","","",""
"","","","Maruthankrny","","14","44","","","","","14","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","1606","5948","0","0","0","89","998","94","0","1","23","92",""
"","","","","Cyclone (GAJA)
2018.11.16","11","56","","","","","","","","","","",""
"","","මන්නාරම","","","","","","","","","","","","","","",""
"","6","","Mannar Town","","","","","","","","","","","","","",""
"","","kd;dhH    Mannar","","","","","","","","","","","","","","",""
"","","","","Lightning
2018.11.18","5","13","","1","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","16","69","0","1","0","0","0","0","0","0","0","0",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","1622","6017","0","1","0","89","998","94","0","1","23","92",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","","1676","6235","0","1","0","90","1024","94","0","3","41","181",""
"","","","","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","","",""
