"","බදුල්ල","","","","","","","","","","","","","Drinking water is"
"","4
Hali Ela
Drought
gJs;is","2024.03.31
50","190","","","","","","","","","","","being distributed for"
"ඌව","","","","","","","","","","","","","","drought areas"
"","Badulla","","","","","","","","","","","","",""
"Cth khfhzk;","","","","","","","","","","","","","",""
"Uva","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","50","190","0","0","0","0","0","0","0","0","0","0",""
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","50","190","0","0","0","0","0","0","0","0","0","0",""
"","කිලිනනාච්චිය","","","","","","","","","","","","","Drinking water is"
"","5
Karachchi
Drought
fpspnehr;rp","2024.04.17
432","946","","","","","","","","","","","being distributed for"
"උතුරු පලාත tl","","","","","","","","","","","","","","drought areas"
"","Killinochchi","","","","","","","","","","","","",""
"khfhzk; Northen ;","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","432","946","0","0","0","0","0","0","0","0","0","0",""
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","432","946","0","0","0","0","0","0","0","0","0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","3791","11929","0","0","0","0","31","0","0","0","0","0",""
"","","","","ආපදා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","","",""
