"","Weather Forecast for Main Cities","","","Date :","15-May-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","26","90","55","Showers or thundershowers after 2.00p.m"
"Batticaloa","33","27","90","60","Showers or thundershowers after 2.00p.m"
"Colombo","31","28","90","70","Showers or thundershowers at times"
"Galle","31","26","90","75","Showers or thundershowers at times"
"Jaffna","34","27","85","70","A few showers"
"Kandy","31","23","95","60","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","23","15","95","70","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","33","26","95","70","Showers or thundershowers at times"
"Trincomalee","36","26","90","55","Showers or thundershowers after 2.00p.m"
"Mannar","33","29","85","70","A few showers"
