"","Weather Forecast for Main Cities","","","Date :","2-May-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","90","65","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","33","25","95","65","Mainly fair"
"Colombo","30","25","95","70","Several spells of light showers"
"Galle","31","25","95","70","Showers or thundershowers"
"Jaffna","33","28","85","65","Mainly fair"
"Kandy","31","22","95","70","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","21","13","95","80","Showers or thundershowers after 2.00p.m"
"Ratnapura","33","24","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","33","24","90","60","A few showers"
"Mannar","34","25","90","70","Showers or thundershowers are likely after 2.00p.m"
"","ධාන න ර සදහා කාලණ අනාවැය","","","නය :","2025-05-02"
"","උෂ්ණවය(ගස. අංශක)","","","සාගෂ ආතාවය(%)",""
"න රය","","","","","කාලණය"
"","උපම","අවම","උපම","අවම",""
"අරාධරය","34","24","90","65","සවස 2.00 පව වැ හ ෝ  සත වැ ඇ ය  ැක"
"මඩකලව","33","25","95","65","ධාන වශහය වැ රත"
"හකාළඹ","30","25","95","70"," වැ වාර පය"
"ගාල","31","25","95","70","වැ හ ෝ  සත වැ ඇ හේ"
"යාපනය","33","28","85","65","ධාන වශහය වැ රත"
"ම වර","31","22","95","70","සවස 2.00 පව වැ හ ෝ  සත වැ ඇ හේ"
"වරඑය","21","13","95","80","සවස 2.00 පව වැ හ ෝ  සත වැ ඇ හේ"
"රනරය","33","24","95","70","සවස 2.00 පව වැ හ ෝ  සත වැ ඇ හේ"
"ිණාමලය","33","24","90","60","වැ ස්වපය"
"මනාරම","34","25","90","70","සවස 2.00 පව වැ හ ෝ  සත වැ ඇ ය  ැක"
"","ா ஙளகா ா னறவதல","",""," :","2025-05-02"
"","ப (0C)","","ாபன (%)","",""
"ம","","","","","ா"
"","உச","ந","உச","ந",""
"","","","","",".. 2.00 கப னர ை அல இன  ை யம"
"அாம","34","24","90","65",""
"","","","","","ாதம"
"டகப","33","25","95","65","ாா ா ா"
"ாம","30","25","95","70","அக றவல ை யம"
"ா","31","25","95","70","ை அல இன  ை யம"
"ாழபாம","33","28","85","65","ாா ா ா"
"ண","31","22","95","70",".. 2.00 கப னர ை அல இன  ை யம"
"ா","21","13","95","80",".. 2.00 கப னர ை அல இன  ை யம"
"இத","33","24","95","70",".. 2.00 கப னர ை அல இன  ை யம"
"ா","33","24","90","60","றவல ை யம"
"","","","","",".. 2.00 கப னர ை அல இன  ை யம"
"னார","34","25","90","70",""
"","","","","","ாதம"
