"","Weather Forecast for Main Cities","","","Date :","23-Dec-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","95","55","Mainly fair"
"Batticaloa","30","24","95","80","Mainly fair"
"Colombo","32","26","90","70","Mainly fair"
"Galle","31","24","90","80","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","30","24","95","75","Mainly fair"
"Kandy","30","22","95","65","Mainly fair"
"Nuwara-Eliya","20","14","95","85","Mainly fair"
"Ratnapura","33","24","95","80","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","31","23","95","75","Mainly fair"
"Mannar","31","25","95","75","Mainly fair"
