"","දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 19th  May 2025 at 0900hrs","","","","","","","","","","",""
"","","","","","","","","","නිවාස්ත්‍ හානි Nrjkile;j","","",""
"","","පරිපාලන ප්‍රලද්ශය நிர்வாகப்  பிரிவு","","","බලපෑමට ලක්වු","","","","","ලවනත් හානි பிற பாதிப்புகள்","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd",""
"","","","","","","","","","tPLfs; Houses","","",""
"","","Administrative purview","","","ghjpf;fg;gl;l    Affected","","","","","Other Damages","miktplk; Safe Location",""
"","","","","","","","තුවාලවු","අතුරුදහ","Damaged","","",""
"","","","","ආරම්භක දිනය","","","පුද්ගලයින්","න්වූ","","","",""
"","","","","","","මිය යෑම්","","පුද්ගලයින්","","කුඩා හා මධය","",""
"","","","ආපදාව","mdu;j;jk;","","","","","","ඉතා වැදගත් යටිතල","",""
"පළාත khfhzk;","","","","","","kuzq;f","fhakil","fhzhky;","","පරිමාණ වයාපාරික","ආරක්ිත","ලවනත් කරුණු"
"","#","","mdHj;jk","Muk;gpj;j jpfjp","","","","","","පහසුකම් වලට වූ","ස්ත්‍
රථාන  
පවුේ",""
"","","","","","","s;","e;NjhH","NghNdhH","","ස්ත්‍
රථාන சிறிய,","","NtW Fwpg;Gf;fs; Remarks"
"Province","","දිස්ත්‍රික්කය  
ප්‍රා.ලේ. ලකා","","","","","","","","","",""
"","","","Disaster","Date of","පවුේ ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින්","Deaths","","","අර්ධ හානි","හානි mbg;gilf; 
நடுத்தர,","පුද්ගලයින් 
ස්ත්‍ංඛ්‍යාව 
ස්ත්‍ංඛ්‍යාව",""
"","","","","","","","","පූර්ණ හානි","","","",""
"","","மாவட்டம்  
gpuNjr nra.gp     DS","","","FLk;gq;fs; 
egHfs;","","Injured","Missing","gFjpasT","நிறுவனங் களி
fl;likg;Gf;fs;","egHfs; 
vz;zpf;i
FLk;gq;f",""
"","","","","commenced","","","","KOik Fully","","","",""
"","","","","","Families
People","","","","Partially","ன
்  சேதங் கள்
 
Damages to","s; 
Persons
f   No.",""
"","","District
Division","","","","","People","People","","","",""
"","","","","","","","","","","Small, Medium, 
critical","Families
of Safety",""
"","","","","","","","","","","Enterprises 
Infrastructure","Locations",""
"","","","","","","","","","","Damages","",""
"","","","High Wind & Heavy","","","","","","","","",""
"","","Padavi Sripura","","","33
106","","","","33","","",""
"","","","Rain","","","","","","","","",""
"","","Kinniya","High Wind","","3
11","","","","3","","",""
"","","","","2025.05.14","","","","","","","",""
"","","Kuchchaveli","Lightning","","1
4","","","","1","","",""
"","","","Lightning/High Wind &","","","","","","","","",""
"","","ත්‍රීකුණාමලය","","","4
11","","","","4","","",""
"","","Kantale","Heavy Rain","","","","","","","","",""
"","1","jp.kiy","","","","","","","","","",""
"නැවගනහිර පලාත","","","","","","","","","","","",""
"","","Trincomalee","","2025.05.17","11
47","","","","11","","",""
"fpof;F","","","","","","","","","","","",""
"Eastern","","Seruvila","","","1
5","","","","1","","",""
"","","","Heavy Rain & High","","","","","","","","",""
"","","Thampalagamuwa","","","3
10","","","","3","","",""
"","","","wind","","","","","","","","",""
"","","Morawewa","","","2
8","","","","2","","",""
"","","Muthur","","","4
14","","","","4","","",""
"","","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","62
216","0","0","0
0","62","0
0","0
0
0",""
"","","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","62
216","0","0","0
0","62","0
0","0
0
0",""
"","","පුත්තලම      
Marawila","","2025.05.13","","3","","1","","","",""
