"","High Wind & Rain","2024.11.15-17","3","14","","","","","3",""
"Udapalatha","","","","","","","","","",""
"","Lightning","2024.11.12","","","","","","","","1"
"Medadumbara","Landslide","2024.11.20","1","5","1","","","","1",""
"Gangaihala Korale","Heavy Rain","2024.11.20","1","6","","","","","1",""
"නුවර","","","","","","","","","",""
"fz;b          
6
Akurana","Heavy Rain","2024.11.19","2","7","","","","","2",""
"මධ්‍යම පලාත","","","","","","","","","",""
"Kandy","","","","","","","","","",""
"kj;jpa khfhzk; 
Yatinuwara","Heavy Rain","2024.11.19","2","9","","","","","2",""
"Central","","","","","","","","","",""
"Poojapitiya","Cutting Faliure","2024.11.19","1","2","","","","","1",""
"Udunuwara","Heavy Rain","2024.11.19","1","1","","","","","1",""
"Hatharaliyadda","Cutting Faliure","2024.11.20","1","4","","","","","1",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","12","48","1","0","0","0","12","1"
